Car Wash	Rose Royce
I Wish	Stevie Wonder
Dazz	Brick
You Make Me Feel Like Dancing	Leo Sayer
Hot Line	The Sylvers
New Kid In Town	Eagles
Torn Between Two Lovers	Mary Macgregor
Blinded By The Light	Manfred Mann's Earth Band
Evergreen (Love Theme From "A Star Is Born")	Barbra Streisand
Walk This Way	Aerosmith
Enjoy Yourself	The Jacksons
Lost Without Your Love	Bread
I Like Dreamin'	Kenny Nolan
Fly Like An Eagle	Steve Miller
Weekend In New England	Barry Manilow
Jeans On	David Dundas
You Don't Have To Be A Star (To Be In My Show)	Marilyn McCoo & Billy Davis Jr.
After The Lovin'	Engelbert Humperdinck
Hard Luck Woman	KISS
Saturday Nite	Earth, Wind & Fire
Tonight's The Night (Gonna Be Alright)	Rod Stewart
Ain't Nothing Like The Real Thing	Donny & Marie Osmond
Year Of The Cat	Al Stewart
Night Moves	Bob Seger
Dancing Queen	ABBA
Whispering/Cherchez La Femme/Se Si Bon	Dr. Buzzard's Original Savannah Band
Livin' Thing	Electric Light Orchestra
Stand Tall	Burton Cummings
Don't Leave Me This Way	Thelma Houston
Save It For A Rainy Day	Stephen Bishop
Go Your Own Way	Fleetwood Mac
Sorry Seems To Be The Hardest Word	Elton John
I Never Cry	Alice Cooper
You've Got Me Runnin'	Gene Cotton
Living Next Door To Alice	Smokie
It Keeps You Runnin'	The Doobie Brothers
Boogie Child	Bee Gees
I Like To Do It	KC And The Sunshine Band
The Things We Do For Love	10cc
In The Mood	Henhouse Five Plus Too
Moody Blue/she Thinks I Still Care	Elvis Presley
Dreamboat Annie	Heart
Do It To My Mind	Johnny Bristol
Carry On Wayward Son	Kansas
Someone To Lay Down Beside Me	Linda Ronstadt
The Rubberband Man	The Spinners
What Can I Say	Boz Scaggs
Baby Don't You Know	Wild Cherry
Love Me	Yvonne Elliman
Muskrat Love	Captain & Tennille
Spring Affair/Winter Melody	Donna Summer
Do What You Want, Be What You Are	Daryl Hall John Oates
Drivin' Wheel	Foghat
Open Sesame - Part 1	Kool & The Gang
Love So Right	Bee Gees
Fancy Dancer	Commodores
Say You'll Stay Until Tomorrow	Tom Jones
Shake Your Rump To The Funk	The Bar-Kays
Free	Deniece Williams
Ha Cha Cha (funktion)	Brass Construction
Long Time	Boston
Dis-Gorilla (Part 1)	Rick Dees & His Cast Of Idiots
This Song	George Harrison
Baby, You Look Good To Me Tonight	John Denver
Crackerbox Palace	George Harrison
Be My Girl	The Dramatics
When Love Is New	Arthur Prysock
C.b. Savage	Rod Hart
Happier	Paul Anka
Rich Girl	Daryl Hall John Oates
Sam	Olivia Newton-John
I Just Can't Say No To You	Parker McGee
Don't Give Up On Us	David Soul
Daddy Cool	Boney M.
Darlin' Darlin' Baby (Sweet, Tender, Love)	The O'Jays
Hail! Hail! Rock And Roll!	Starland Vocal Band
Shakey Ground	Phoebe Snow
Feel The Beat (Everybody Disco)	Ohio Players
I Don't Wanna Lose Your Love/Flowers	The Emotions
Right Time Of The Night	Jennifer Warnes
Bless The Beasts And Children	Barry DeVorzon And Perry Botikin Jr.
You Know Like I Know	Ozark Mountain Daredevils
I've Got Love On My Mind	Natalie Cole
Reach	Orleans
Disco Lucy (i Love Lucy Theme)	Wilton Place Street Band
If Not You	Dr. Hook
Fly By Night/In The Mood	Rush
So In To You	Atlanta Rhythm Section
Hey Baby	Ringo Starr
Gloria	Enchantment
Up Your Nose	Gabriel Kaplan
Love Ballad	L.T.D.
Theme From King Kong (Pt. I)	Love Unlimited Orchestra
Spend Some Time	Elvin Bishop Featuring Mickey Thomas
Spring Rain	Silvetti
Sorry/That's The Trouble	Grace Jones
Disco Duck (Part I)	Rick Dees & His Cast Of Idiots
Turn Loose Of My Leg	Jim Stafford
Love To The World	L.T.D.
