Sugar, Sugar	The Archies
Green River	Creedence Clearwater Revival
Honky Tonk Women	The Rolling Stones
Easy To Be Hard	Three Dog Night
Little Woman	Bobby Sherman
I Can't Get Next To You	The Temptations
Jean	Oliver
I'll Never Fall In Love Again	Tom Jones
Hot Fun In The Summertime	Sly & The Family Stone
Oh, What A Night	The Dells
A Boy Named Sue	Johnny Cash
This Girl Is A Woman Now	Gary Puckett And The Union Gap
Get Together	The Youngbloods
Hurt So Bad	The Lettermen
That's The Way Love Is	Marvin Gaye
Keem-O-Sabe	The Electric Indian
Everybody's Talkin'	Nilsson
Your Good Thing (Is About To End)	Lou Rawls
Suspicious Minds	Elvis Presley
Lay Lady Lay	Bob Dylan
When I Die	Motherlode
What's The Use Of Breaking Up	Jerry Butler
What Kind Of Fool Do You Think I Am	Bill Deal & The Rhondels
Put A Little Love In Your Heart	Jackie DeShannon
I'd Wait A Million Years	The Grass Roots
I'm Gonna Make You Mine	Lou Christie
Sweet Caroline (Good Times Never Seemed So Good)	Neil Diamond
Soul Deep	The Box Tops
Share Your Love With Me	Aretha Franklin
You, I	The Rugbys
Move Over	Steppenwolf
Carry Me Back	The Rascals
Sugar On Sunday	The Clique
Daddy's Little Man	O.C. Smith
The Nitty Gritty	Gladys Knight And The Pips
Did You See Her Eyes	The Illusion
World (Part 1)	James Brown
I'm A Better Man	Engelbert Humperdinck
By The Time I Get To Phoenix	Isaac Hayes
It's Getting Better	Mama Cass
In A Moment	The Intrigues
Going In Circles	The Friends Of Distinction
Here I Go Again	Smokey Robinson & The Miracles
Don't It Make You Want To Go Home	Joe South and The Believers
You Got Yours And I'll Get Mine	The Delfonics
Nobody But You Babe	Clarence Reid
Lowdown Popcorn	James Brown
The Weight	Supremes & Temptations
Tracy	The Cuff Links
Baby It's You	Smith
We Gotta All Get Together	Paul Revere & The Raiders Featuring Mark Lindsay
No One For Me To Turn To	Spiral Starecase
Muddy Mississippi Line	Bobby Goldsboro
Make Believe	Wind
And That Reminds Me (My Heart Reminds Me)	The 4 Seasons
Máh-Ná-Mah-Ná	Piero Umiliani
You've Lost That Lovin' Feeling	Dionne Warwick
I Could Never Be President	Johnnie Taylor
Love Of The Common People	The Winstons
Jealous Kind Of Fella	Garland Green
Sad Girl	The Intruders
Something In The Air	Thunderclap Newman
Walk On By	Isaac Hayes
Jack And Jill	Tommy Roe
I Want You To Know	The New Colony Six
Let A Woman Be A Woman - Let A Man Be A Man	Dyke And The Blazers
Wedding Bell Blues	The 5th Dimension
Lodi	Al Wilson
The Train	1910 Fruitgum Co.
Jesus Is A Soul Man	Lawrence Reynolds
Runnin' Blue	The Doors
Any Way That You Want Me	Evie Sands
Don't Forget To Remember	Bee Gees
Life And Death In G & A	Abaco Dream
Love's Been Good To Me	Frank Sinatra
Is That All There Is	Peggy Lee
Doin' Our Thing	Clarence Carter
Hook And Sling-Part I	Eddie Bo
Get Off My Back Woman	B.B. King
Son Of A Lovin' Man	Buchanan Brothers
Chains Of Love	Bobby Bland
So Good Together	Andy Kim
Can't Find The Time	Orpheus
San Francisco Is A Lonely Town	Joe Simon
Echo Park	Keith Barbour
Baby, I'm For Real	The Originals
Moonlight Sonata	Henry Mancini And His Orchestra
My Balloon's Going Up	Archie Bell & The Drells
Slum Baby	Booker T. & The MG's
Since I Met You, Baby	Sonny James
Time Machine	Grand Funk Railroad
Mind, Body and Soul	The Flaming Ember
Was It Good To You	The Isley Brothers
Goodbye Columbus	The Association
Kool And The Gang	Kool & The Gang
We'll Cry Together	Maxine Brown
Julia	Ramsey Lewis
Drummer Man	Nancy Sinatra
Good Clean Fun	The Monkees
Reuben James	Kenny Rogers & The First Edition
