My Boo	Usher And Alicia Keys
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Lose My Breath	Destiny's Child
Over And Over	Nelly Featuring Tim McGraw
Goodies	Ciara Featuring Petey Pablo
Breakaway	Kelly Clarkson
She Will Be Loved	Maroon 5
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
Just Lose It	Eminem
Breathe	Fabolous
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
Lean Back	Terror Squad
Go D.J.	Lil Wayne
Let Me Love You	Mario
1, 2 Step	Ciara Featuring Missy Elliott
My Happy Ending	Avril Lavigne
Locked Up	Akon Featuring Styles P.
Diary	Alicia Keys Featuring Tony! Toni! Tone!
Balla Baby	Chingy
Charlene	Anthony Hamilton
Shorty Wanna Ride	Young Buck
On The Way Down	Ryan Cabrera
I Don't Want To Be	Gavin DeGraw
Broken	Seether Featuring Amy Lee
One Thing	Finger Eleven
Hush	LL Cool J Featuring 7 Aurelius
Dare You To Move	Switchfoot
1985	Bowling For Soup
Baby It's You	JoJo Featuring Bow Wow
If I Ain't Got You	Alicia Keys
Vertigo	U2
My Place	Nelly Featuring Jaheim
Heaven	Los Lonely Boys
Mr. Mom	Lonestar
The Reason	Hoobastank
Nothing On But The Radio	Gary Allan
That's What It's All About	Brooks & Dunn
Tempted To Touch	Rupee
Back When	Tim McGraw
The Woman With You	Kenny Chesney
This Love	Maroon 5
Nolia Clap	Juvenile, Wacko & Skip
Some Beach	Blake Shelton
Daughters	John Mayer
In A Real Love	Phil Vassar
Big Chips	R. Kelly & Jay-Z
Pieces Of Me	Ashlee Simpson
Sunshine	Lil' Flip Featuring Lea
Let's Get It Started	The Black Eyed Peas
Stays In Mexico	Toby Keith
What You Waiting For?	Gwen Stefani
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Somebody Told Me	The Killers
Suds In The Bucket	Sara Evans
Welcome To My Life	Simple Plan
How Am I Doin'	Dierks Bentley
Breaking The Habit	Linkin Park
No Problem	Lil Scrappy
Encore	Eminem, Dr. Dre & 50 Cent
Breathe, Stretch, Shake	Mase Featuring P. Diddy
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
Only U	Ashanti
Days Go By	Keith Urban
Awful, Beautiful Life	Darryl Worley
Get Back	Ludacris
I Hate Everything	George Strait
Fall To Pieces	Velvet Revolver
Headsprung	LL Cool J
Nothin 'Bout Love Makes Sense	LeAnn Rimes
Karma	Lloyd Banks Featuring Avant
New York	Ja Rule Featuring Fat Joe & Jadakiss
Getting Away With Murder	Papa Roach
Used To Love U	John Legend
U Make Me Wanna	Jadakiss Featuring Mariah Carey
American Idiot	Green Day
Vitamin R (Leading Us Along)	Chevelle
Why?	Jadakiss Featuring Anthony Hamilton
Take Me Home	Terror Squad
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Real Big	Mannie Fresh
Dangerously In Love	Beyonce
So Cold	Breaking Benjamin
Just Like You	Three Days Grace
King Of The Dancehall	Beenie Man
White Tee's	Dem Franchize Boyz
Cold	Crossfade
(Reach Up For The) Sunrise	Duran Duran
White Houses	Vanessa Carlton
Gasolina	Daddy Yankee
You're My Everything	Anita Baker
Call My Name	Prince
Bridging The Gap	Nas Featuring Olu Dara
Here For The Party	Gretchen Wilson
Hot 2Nite	New Edition
If Nobody Believed In You	Joe Nichols
Rough & Ready	Trace Adkins
U Saved Me	R. Kelly
So Sexy Chapter II (Like This)	Twista Featuring R. Kelly
