Rush Rush	Paula Abdul
I Wanna Sex You Up (From "New Jack City")	Color Me Badd
More Than Words	Extreme
Love Is A Wonderful Thing	Michael Bolton
Losing My Religion	R.E.M.
I Don't Wanna Cry	Mariah Carey
Unbelievable	EMF
Power Of Love/Love Power	Luther Vandross
Strike It Up	Black Box
I Like The Way (The Kissing Game)	Hi-Five
Couple Days Off	Huey Lewis & The News
Playground	Another Bad Creation
Miracle	Whitney Houston
Right Here, Right Now	Jesus Jones
Here I Am (Come And Take Me)	UB40
We Want The Funk	Gerardo
Mama Said Knock You Out	LL Cool J
Walking In Memphis	Marc Cohn
Gypsy Woman (She's Homeless)	Crystal Waters
How Can I Ease The Pain	Lisa Fischer
Rhythm Of My Heart	Rod Stewart
Do You Want Me	Salt-N-Pepa
Silent Lucidity	Queensryche
Touch Me (All Night Long)	Cathy Dennis
Love At First Sight	Styx
Here We Go	C+C Music Factory/F. Williams
Baby Baby	Amy Grant
Place In This World	Michael W. Smith
I Touch Myself	Divinyls
Never Gonna Let You Down	Surface
Written All Over Your Face	The Rude Boys
Piece Of My Heart	Tara Kemp
Lily Was Here	David A. Stewart Introducing Candy Dulfer
I'll Never Let You Go	Steelheart
A Better Love	Londonbeat
Don't Treat Me Bad	Firehouse
Joyride	Roxette
What Comes Naturally	Sheena Easton
P.A.S.S.I.O.N.	Rhythm Syndicate
The Dream Is Still Alive	Wilson Phillips
Does Anybody Really Fall In Love Anymore?	Kane Roberts
Dream Lover	The Rebel Pebbles
Temptation	Corina
It Ain't Over 'til It's Over	Lenny Kravitz
I'll Be There	The Escape Club
Voices That Care	Voices That Care
You Can't Play With My Yo-Yo	Yo-Yo Featuring Ice Cube
See The Lights	Simple Minds
Life Goes On	Poison
Kissing You	Keith Washington
You Don't Have To Go Home Tonight	The Triplets
Exclusivity	Damian Dame
Every Heartbeat	Amy Grant
This Time Make It Funky	Tracie Spencer
Part Of Me, Part Of You	Glenn Frey
She Talks To Angels	The Black Crowes
(If There Was) Any Other Way	Celine Dion
Cry For Help	Rick Astley
Fading Like A Flower (Every Time You Leave)	Roxette
Love And Understanding	Cher
Higher Than Hope	Daryl Braithwaite
Going Through The Motions	Aftershock
Motownphilly	Boyz II Men
Kisses In The Night	Brandon
More Than Ever	Nelson
Elevate My Mind	Stereo MC's
Nights Like This (From "The Five Heartbeats")	After 7
Wind Of Change	Scorpions
Come Again	Damn Yankees
It's A Shame (My Sister)	Monie Love Featuring True Image
My Heart Is Failing Me	Riff
People Are Still Having Sex	LaTour
Can't Forget You	Gloria Estefan
Ooh La La	David Hallyday
Can I Call You My Girl	PC Quest
My Body Says Yes	Titiyo
Save Some Love	Keedy
Where The Streets Have No Name	Pet Shop Boys
Dirty Love	Thunder
Love Desire	Sandee
Round And Round	Tevin Campbell
Whatever You Want	Tony Toni Tone
What A Price To Pay	Michael Damian
Forever Amo'r	D'zyre
Summertime	D.J. Jazzy Jeff & The Fresh Prince
I Don't Want To Lose Your Love	B Angie B
Lift Me Up	Yes
Someone	The Rembrandts
Surrender	Trixter
I've Been Thinking About You	Londonbeat
Your Love	Keith Sweat
You're In Love	Wilson Phillips
Over And Over	Timmy T.
Hold You Tight	Tara Kemp
Just The Way It Is, Baby	The Rembrandts
Summer Vacation	The Party
Love Gets Rough	Troy Newman
Iesha	Another Bad Creation
New Jack Hustler (Nino's Theme) (From "New Jack City")	Ice-T
Feel The Groove	Cartouche
