This Is The Night	Clay Aiken
Flying Without Wings	Ruben Studdard
Crazy In Love	Beyonce Featuring Jay Z
Magic Stick	Lil' Kim Featuring 50 Cent
21 Questions	50 Cent Featuring Nate Dogg
Get Busy	Sean Paul
Rock Wit U (Awww Baby)	Ashanti
Bring Me To Life	Evanescence Featuring Paul McCoy
I Know What You Want	Busta Rhymes & Mariah Carey Featuring The Flipmode Squad
Unwell	matchbox twenty
So Gone	Monica
Miss Independent	Kelly Clarkson
Can't Let You Go	Fabolous Featuring Mike Shorey & Lil' Mo
Drift Away	Uncle Kracker Featuring Dobie Gray
Right Thurr	Chingy
Ignition	R. Kelly
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
When I'm Gone	3 Doors Down
Don't Wanna Try	Frankie J
No Letting Go	Wayne Wonder
Rock Your Body	Justin Timberlake
In Those Jeans	Ginuwine
Beer For My Horses	Toby Keith Duet With Willie Nelson
My Front Porch Looking In	Lonestar
In Da Club	50 Cent
Never Scared	Bone Crusher Featuring Killer Mike & T.I.
Intuition	Jewel
P.I.M.P.	50 Cent
Where Is The Love?	The Black Eyed Peas
Into You	Fabolous Featuring Tamia Or Ashanti
Are You Happy Now?	Michelle Branch
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
If You're Not The One	Daniel Bedingfield
Snake	R. Kelly Featuring Big Tigger
Fighter	Christina Aguilera
Forever And For Always	Shania Twain
Stay Gone	Jimmy Wayne
Picture	Kid Rock Featuring Sheryl Crow Or Allison Moorer
Red Dirt Road	Brooks & Dunn
Act A Fool	Ludacris
Like Glue	Sean Paul
Big Yellow Taxi	Counting Crows Featuring Vanessa Carlton
Like A Stone	Audioslave
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Calling All Angels	Train
Celebrity	Brad Paisley
Speed	Montgomery Gentry
Pump It Up	Joe Budden
Like A Pimp	David Banner Featuring Lil' Flip
Say Yes	Floetry
Put That Woman First	Jaheim
I Want You	Thalia Featuring Fat Joe
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
4 Ever	Lil' Mo Featuring Fabolous
Come Over	Aaliyah
Three Wooden Crosses	Randy Travis
The Remedy (I Won't Worry)	Jason Mraz
Love You Out Loud	Rascal Flatts
Headstrong	Trapt
Feel Good Time	P!nk Featuring William Orbit
Frontin'	Pharrell Featuring Jay-Z
No Shoes, No Shirt, No Problems	Kenny Chesney
Love At 1st Sight	Mary J. Blige Featuring Method Man
I Wish I Wasn't	Heather Headley
The Love Song	Jeff Bates
Addicted	Simple Plan
Swing, Swing	The All-American Rejects
I Believe	Diamond Rio
Almost Home	Craig Morgan
In Love Wit Chu	Da Brat Featuring Cherish
Tell Me Something Bad About Tulsa	George Strait
What Would You Do?	The Isley Brothers Featuring Ronald Isley
My Love Is Like... Wo	Mya
Send The Pain Below	Chevelle
Dance With My Father	Luther Vandross
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
What Was I Thinkin'	Dierks Bentley
Somewhere I Belong	Linkin Park
The Truth About Men	Tracy Byrd
What The World Needs	Wynonna
Breathe	Blu Cantrell Featuring Sean Paul
Sing For The Moment	Eminem
Seven Nation Army	The White Stripes
I'm Glad	Jennifer Lopez
Stuck	Stacie Orrico
Have You Forgotten?	Darryl Worley
Times Like These	Foo Fighters
Stupid Girl	Cold
I Love You	Dru Hill
Let's Get Down	Bow Wow Featuring Baby
Big Star	Kenny Chesney
What A Beautiful Day	Chris Cagle
Hell Yeah	Ginuwine Featuring Baby
Raining On Sunday	Keith Urban
Still Ballin	2Pac Featuring Trick Daddy
She's My Kind Of Rain	Tim McGraw
Try It On My Own	Whitney Houston
Tal Vez	Ricky Martin
Concrete Angel	Martina McBride
I Can	Nas
