Diamonds	Rihanna
Die Young	Ke$ha
One More Night	Maroon 5
Locked Out Of Heaven	Bruno Mars
Gangnam Style	PSY
Some Nights	fun.
Ho Hey	The Lumineers
Home	Phillip Phillips
I Cry	Flo Rida
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
We Are Never Ever Getting Back Together	Taylor Swift
Too Close	Alex Clare
Beauty And A Beat	Justin Bieber Featuring Nicki Minaj
Don't Wake Me Up	Chris Brown
As Long As You Love Me	Justin Bieber Featuring Big Sean
Clique	Kanye West, Jay-Z, Big Sean
Cruise	Florida Georgia Line Featuring Nelly
Try	P!nk
Adorn	Miguel
Swimming Pools (Drank)	Kendrick Lamar
Girl On Fire	Alicia Keys Featuring Nicki Minaj
Va Va Voom	Nicki Minaj
The A Team	Ed Sheeran
It's Time	Imagine Dragons
Over You	Cassadee Pope
Everybody Talks	Neon Trees
Blow Me (One Last Kiss)	P!nk
Don't You Worry Child	Swedish House Mafia Featuring John Martin
Good Time	Owl City & Carly Rae Jepsen
Don't Stop The Party	Pitbull Featuring TJR
Bandz A Make Her Dance	Juicy J Featuring Lil Wayne & 2 Chainz
Skyfall	Adele
Lights	Ellie Goulding
Call Me Maybe	Carly Rae Jepsen
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
I Will Wait	Mumford & Sons
Thinkin Bout You	Frank Ocean
Feel Again	OneRepublic
Kiss Tomorrow Goodbye	Luke Bryan
Wanted	Hunter Hayes
Whistle	Flo Rida
Blown Away	Carrie Underwood
Somebody That I Used To Know	Gotye Featuring Kimbra
50 Ways To Say Goodbye	Train
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
Hall Of Fame	The Script Featuring will.i.am
I Knew You Were Trouble.	Taylor Swift
Titanium	David Guetta Featuring Sia
Little Talks	Of Monsters And Men
No Worries	Lil Wayne Featuring Detail
The One That Got Away	Jake Owen
Come Wake Me Up	Rascal Flatts
A Thousand Years (Part 2)	Christina Perri Featuring Steve Kazee
Finally Found You	Enrique Iglesias Featuring Sammy Adams
Live While We're Young	One Direction
Til My Last Day	Justin Moore
Catch My Breath	Kelly Clarkson
Fastest Girl In Town	Miranda Lambert
Goodbye In Her Eyes	Zac Brown Band
Better Dig Two	The Band Perry
Birthday Song	2 Chainz Featuring Kanye West
Beer Money	Kip Moore
Every Storm (Runs Out Of Rain)	Gary Allan
Anything Could Happen	Ellie Goulding
Little Things	One Direction
F**kin Problems	A$AP Rocky Featuring Drake, 2 Chainz & Kendrick Lamar
Creepin'	Eric Church
Madness	Muse
How Country Feels	Randy Houser
Did It For The Girl	Greg Bates
Just A Fool	Christina Aguilera With Blake Shelton
Turn On The Lights	Future
Wicked Games	The Weeknd
The Only Way I Know	Jason Aldean With Luke Bryan & Eric Church
Southern Comfort Zone	Brad Paisley
Radioactive	Imagine Dragons
El Cerrito Place	Kenny Chesney
Begin Again	Taylor Swift
I'm Different	2 Chainz
Diced Pineapples	Rick Ross Featuring Wale & Drake
Ball	T.I. Featuring Lil Wayne
Sweet Nothing	Calvin Harris Featuring Florence Welch
Tornado	Little Big Town
Take A Little Ride	Jason Aldean
Don't Judge Me	Chris Brown
Seven Nation Army	Melanie Martinez
Ready Or Not	Bridgit Mendler
Pound The Alarm	Nicki Minaj
I Found You	The Wanted
Poetic Justice	Kendrick Lamar Featuring Drake
Ice	Kelly Rowland Featuring Lil Wayne
Dance For You	Beyonce
Young & Gettin' It	Meek Mill Featuring Kirko Bangz
Give It All We Got Tonight	George Strait
Stars	Grace Potter & The Nocturnals
Celebration	Game Featuring Chris Brown, Tyga, Wiz Khalifa & Lil Wayne
Stars	Amanda Brown
Remember You	Wiz Khalifa Featuring The Weeknd
Take A Walk	Passion Pit
Somebody's Heartbreak	Hunter Hayes
