Good Times	Chic
My Sharona	The Knack
The Main Event/Fight	Barbra Streisand
Bad Girls	Donna Summer
After The Love Has Gone	Earth, Wind & Fire
When You're In Love With A Beautiful Woman	Dr. Hook
Ring My Bell	Anita Ward
The Devil Went Down To Georgia	The Charlie Daniels Band
You Can't Change That	Raydio
Mama Can't Buy You Love	Elton John
I Was Made For Lovin' You	KISS
Sad Eyes	Robert John
Lead Me On	Maxine Nightingale
Don't Bring Me Down	Electric Light Orchestra
Makin' It	David Naughton
I'll Never Love This Way Again	Dionne Warwick
Suspicions	Eddie Rabbitt
Gold	John Stewart
Hot Stuff	Donna Summer
Goodbye Stranger	Supertramp
Is She Really Going Out With Him?	Joe Jackson
Lonesome Loser	Little River Band
Let's Go	The Cars
Hot Summer Nights	Night
Heaven Must Have Sent You	Bonnie Pointer
Morning Dance	Spyro Gyra
One Way Or Another	Blondie
I Do Love You	GQ
Highway Song	Blackfoot
Bad Case Of Loving You (Doctor, Doctor)	Robert Palmer
I Want You To Want Me	Cheap Trick
Born To Be Alive	Patrick Hernandez
Cruel To Be Kind	Nick Lowe
Driver's Seat	Sniff 'n' the Tears
Oh Well	Rockets
Different Worlds	Maureen McGovern
Sail On	Commodores
You Gonna Make Me Love Somebody Else	The Jones Girls
Girl Of My Dreams	Bram Tchaikovsky
The Boss	Diana Ross
Ain't No Stoppin' Us Now	McFadden & Whitehead
Lovin', Touchin', Squeezin'	Journey
Hold On	Triumph
Saturdaynight	Herman Brood
Shine A Little Love	Electric Light Orchestra
Young Blood	Rickie Lee Jones
Rise	Herb Alpert
Turn Off The Lights	Teddy Pendergrass
Baby I Want You	Funky Communication Committee
Lady Writer	Dire Straits
Pop Muzik	M
Totally Hot	Olivia Newton-John
Got To Give In To Love	Bonnie Boyer
You've Got Another Thing Coming	Hotel
Why Leave Us Alone	Five Special
Where Were You When I Was Falling In Love	Lobo
What Cha Gonna Do With My Lovin'	Stephanie Mills
Boogie Wonderland	Earth, Wind & Fire with The Emotions
Rock And Roll Dancin'	Beckmeier Brothers
Ain't That A Shame	Cheap Trick
This Is Love	Oak
Love Me Tonight	Blackjack
Gone, Gone, Gone	Bad Company
Don't Stop 'til You Get Enough	Michael Jackson
Children Of The Sun	Billy Thorpe
Do It Or Die	Atlanta Rhythm Section
Firecracker	Mass Production
Get It Right Next Time	Gerry Rafferty
Does Your Mother Know	ABBA
Dependin' On You	The Doobie Brothers
I Know A Heartache When I See One	Jennifer Warnes
Best Beat In Town	Switch
This Night Won't Last Forever	Michael Johnson
Ghost Dancer	Addrisi Brothers
Getting Closer	Wings
Hey, St. Peter	Flash And The Pan
Good Friend	Mary Macgregor
Just Another Night	Ian Hunter
Spooky	Atlanta Rhythm Section
H.a.p.p.y. Radio	Edwin Starr
Rolene	Moon Martin
Remember (Walking In The Sand)	Louise Goffin
Rocky II Disco	Maynard Ferguson
Do It Good	A Taste Of Honey
Then You Can Tell Me Goodbye	Toby Beau
Groove Me	Fern Kinney
Found A Cure	Ashford & Simpson
So Good, So Right	Brenda Russell
I've Got The Next Dance	Deniece Williams
Frederick	Patti Smith Group
You've Lost That Lovin' Feelin'	Long John Baldry & Kathi MacDonald
Reunited	Peaches & Herb
Crank It Up (Funk Town) Pt. 1	Peter Brown
People Of The South Wind	Kansas
We Are Family	Sister Sledge
Last Of The Singing Cowboys	The Marshall Tucker Band
We've Got Love	Peaches & Herb
Love You Inside Out	Bee Gees
I Can't Stand It No More	Peter Frampton
Going Through The Motions	Hot Chocolate
