Go Away Little Girl	Donny Osmond
Maggie May/Reason To Believe	Rod Stewart
Ain't No Sunshine	Bill Withers
The Night They Drove Old Dixie Down	Joan Baez
Spanish Harlem	Aretha Franklin
Uncle Albert/Admiral Halsey	Paul & Linda McCartney
Smiling Faces Sometimes	The Undisputed Truth
Superstar/Bless The Beasts And Children	Carpenters
Whatcha See Is Whatcha Get	The Dramatics
I Just Want To Celebrate	Rare Earth
Stick-Up	The Honey Cone
Do You Know What I Mean	Lee Michaels
I Woke Up In Love This Morning	The Partridge Family Starring Shirley Jones Featuring David Cassidy
If You Really Love Me	Stevie Wonder
Won't Get Fooled Again	The Who
Tired Of Being Alone	Al Green
How Can You Mend A Broken Heart	Bee Gees
Sweet City Woman	Stampeders
Yo-Yo	The Osmonds
So Far Away/Smackwater Jack	Carole King
Chirpy Chirpy Cheep Cheep	Mac And Katie Kissoon
Signs	Five Man Electrical Band
Make It Funky (Part 1)	James Brown
The Story In Your Eyes	The Moody Blues
Rain Dance	The Guess Who
Take Me Home, Country Roads	John Denver
Thin Line Between Love & Hate	The Persuaders
Saturday Morning Confusion	Bobby Russell
Liar	Three Dog Night
I've Found Someone Of My Own	The Free Movement
Bangla-Desh/Deep Blue	George Harrison
Wedding Song (There Is Love)	Paul Stookey
The Breakdown (Part I)	Rufus Thomas
The Love We Had (Stays On My Mind)	The Dells
Trapped By A Thing Called Love	Denise LaSalle
I Ain't Got Time Anymore	The Glass Bottle
Stagger Lee	Tommy Roe
Surrender	Diana Ross
All Day Music	War
Easy Loving	Freddie Hart
Loving Her Was Easier (Than Anything I'll Ever Do Again)	Kris Kristofferson
Marianne	Stephen Stills
MacArthur Park (Part II)	Four Tops
Another Time, Another Place	Engelbert Humperdinck
Where Evil Grows	The Poppy Family
Birds Of A Feather	The Raiders
Stop, Look, Listen (To Your Heart)	The Stylistics
One Fine Morning	Lighthouse
K-Jee	The Nite-Liters
Annabella	Hamilton, Joe Frank & Reynolds
Crazy Love	Helen Reddy
Call My Name, I'll Be There	Wilson Pickett
Women's Love Rights	Laura Lee
Ko-Ko Joe	Jerry Reed
A Natural Man	Lou Rawls
Take Me Girl, I'm Ready	Jr. Walker & The All Stars
I Likes To Do It	The People's Choice
The Year That Clayton Delaney Died	Tom T. Hall
Is That The Way	Tin Tin
Maggie	Redbone
Never My Love	The 5th Dimension
Them Changes	Buddy Miles & The Freedom Express
How Can I Unlove You	Lynn Anderson
Hijackin' Love	Johnnie Taylor (The Soul Philosopher)
Think His Name	Johnny Rivers
Gypsys, Tramps & Thieves	Cher
Roll On	The New Colony Six
Talk It Over In The Morning	Anne Murray
Gimme Shelter	Grand Funk Railroad
All My Trials	Ray Stevens
Only You Know And I Know	Delaney & Bonnie
Charity Ball	Fanny
Don't Try To Lay No Boogie-Woogie On The King Of Rock And Roll	John Baldry
I'm Comin' Home	Tommy James
Ghetto Woman	B.B. King
You've Got To Crawl (Before You Walk)	The 8th Day
Pin The Tail On The Donkey	The Newcomers
Feel So Bad	Ray Charles
Military Madness	Graham Nash
One Tin Soldier, The Legend of Billy Jack	Coven
Some Of Shelly's Blues	Nitty Gritty Dirt Band
That's The Way A Woman Is	Messengers
He'd Rather Have The Rain	Heaven Bound with Tony Scotti
It's A Cryin' Shame	Gayle McCormick
I Don't Need No Doctor	Humble Pie
I Know I'm In Love	Chee-Chee & Peppy
It's For You	Springwell
Peace Train	Cat Stevens
You Send Me	Ponderosa Twins + One
Hot Pants - I'm Coming, Coming, I'm Coming	Bobby Byrd
Solo	Billie Sans
Handbags And Gladrags	Chase
Can You Get To That	Funkadelic
A Part Of You	Brenda & The Tabulations
All My Hard Times	Joe Simon
Everything's Alright	Yvonne Elliman
Black Seeds Keep On Growing	The Main Ingredient
I Like What You Give	Nolan
Your Move (I've Seen All Good People)	Yes
I'd Love To Change The World	Ten Years After
