9 To 5	Dolly Parton
Keep On Loving You	REO Speedwagon
Woman	John Lennon
The Best Of Times	Styx
I Love A Rainy Night	Eddie Rabbitt
Crying	Don McLean
Rapture	Blondie
The Winner Takes It All	ABBA
Hello Again	Neil Diamond
Celebration	Kool & The Gang
I Ain't Gonna Stand For It	Stevie Wonder
What Kind Of Fool	Barbra Streisand & Barry Gibb
Giving It Up For Your Love	Delbert McClinton
Kiss On My List	Daryl Hall John Oates
The Tide Is High	Blondie
Games People Play	The Alan Parsons Project
A Little In Love	Cliff Richard
Treat Me Right	Pat Benatar
Hearts On Fire	Randy Meisner
Fade Away	Bruce Springsteen
While You See A Chance	Steve Winwood
Don't Stand So Close To Me	The Police
Living In A Fantasy	Leo Sayer
Morning Train (Nine To Five)	Sheena Easton
Smoky Mountain Rain	Ronnie Milsap
Precious To Me	Phil Seymour
Just The Two Of Us	Grover Washington, Jr. With Bill Withers
Somebody's Knockin'	Terri Gibbs
I Can't Stand It	Eric Clapton And His Band
Guitar Man	Elvis Presley
Angel Of The Morning	Juice Newton
Same Old Lang Syne	Dan Fogelberg
Passion	Rod Stewart
Together	Tierra
Ah! Leah!	Donnie Iris
Just Between You And Me	April Wine
Staying With It	Firefall
Her Town Too	James Taylor & J.D. Souther
Don't Stop The Music	Yarbrough & Peoples
Ain't Even Done With The Night	John Cougar
Being With You	Smokey Robinson
(Ghost) Riders In The Sky	Outlaws
(Just Like) Starting Over	John Lennon
Turn Me Loose	Loverboy
Every Woman In The World	Air Supply
Heartbreak Hotel	The Jacksons
Too Tight	ConFunkShun
How 'bout Us	Champaign
It's A Love Thing	The Whispers
Guilty	Barbra Streisand & Barry Gibb
Back In Black	AC/DC
Yesterday Once More/Nothing Remains The Same	The Spinners
Who Do You Think You're Foolin'	Donna Summer
I Love You	Climax Blues Band
The Party's Over (Hopelessly In Love)	Journey
Hey Nineteen	Steely Dan
Miss Sun	Boz Scaggs
Ch Ch Cherie	The Johnny Average Band Featuring Nikki Wills
Wasn't That A Party	The Rovers
It's My Job	Jimmy Buffett
Games	Phoebe Snow
And Love Goes On	Earth, Wind & Fire
Mister Sandman	Emmylou Harris
Sweetheart	Franke & The Knockouts
Hold On Loosely	38 Special
Hold On	Badfinger
Lovers After All	Melissa Manchester & Peabo Bryson
Bon Bon Vie (Gimme The Good Life)	T.S. Monk
Proud	The Joe Chemay Band
Time Out Of Mind	Steely Dan
Running Scared	The Fools
Me (Without You)	Andy Gibb
Sukiyaki	A Taste Of Honey
Walking On Thin Ice	Yoko Ono
Lipstick	Suzi Quatro
A Woman Needs Love (Just Like You Do)	Ray Parker Jr. & Raydio
It's My Turn	Diana Ross
Killin' Time	Fred Knoblock & Susan Anton
Lonely Together	Barry Manilow
Seven Bridges Road	Eagles
Right Away	Hawks
Flash's Theme Aka Flash	Queen
Limelight	Rush
I Have The Skill	Sherbs
Let Me Go	The Rings
96 Tears	Garland Jeffreys
I Loved 'em Every One	T.G. Sheppard
8th Wonder	Sugarhill Gang
Burn Rubber (Why You Wanna Hurt Me)	The Gap Band
Memories	Tierra
The Rambler	Molly Hatchet
Fantastic Voyage	Lakeside
Keep This Train A-Rollin'	The Doobie Brothers
Love On The Rocks	Neil Diamond
De Do Do Do, De Da Da Da	The Police
Hit Me With Your Best Shot	Pat Benatar
Lady	Kenny Rogers
Another One Bites The Dust	Queen
Fireflies	Fleetwood Mac
Time Is Time	Andy Gibb
