Honey	Bobby Goldsboro
Tighten Up	Archie Bell & The Drells
Young Girl	The Union Gap Featuring Gary Puckett
The Good, The Bad And The Ugly	Hugo Montenegro, His Orchestra And Chorus
Cry Like A Baby	The Box Tops
A Beautiful Morning	The Rascals
Cowboys To Girls	The Intruders
The Unicorn	The Irish Rovers
Mrs. Robinson	Simon & Garfunkel
Lady Madonna	The Beatles
Love Is All Around	The Troggs
I Got The Feelin'	James Brown And The Famous Flames
Take Time To Know Her	Percy Sledge
Funky Street	Arthur Conley
Summertime Blues	Blue Cheer
Ain't No Way	Aretha Franklin
The Ballad Of Bonnie And Clyde	Georgie Fame
Sweet Inspiration	The Sweet Inspirations
Do You Know The Way To San José	Dionne Warwick
Shoo-Be-Doo-Be-Doo-Da-Day	Stevie Wonder
Dance To The Music	Sly & The Family Stone
Mony Mony	Tommy James And The Shondells
Soul Serenade	Willie Mitchell
Ain't Nothing Like The Real Thing	Marvin Gaye & Tammi Terrell
(Sweet Sweet Baby) Since You've Been Gone	Aretha Franklin
Playboy	Gene And Debbe
Delilah	Tom Jones
U.S. Male	Elvis Presley With The Jordanaires
I Will Always Think About You	The New Colony Six
She's Lookin' Good	Wilson Pickett
Mighty Quinn (Quinn The Eskimo)	Manfred Mann
La - La - Means I Love You	The Delfonics
If You Can Want	Smokey Robinson & The Miracles
Take Good Care Of My Baby	Bobby Vinton
(Sittin' On) The Dock Of The Bay	Otis Redding
If I Were A Carpenter	Four Tops
The Happy Song (Dum-Dum)	Otis Redding
Scarborough Fair (/Canticle)	Simon & Garfunkel
The Unknown Soldier	The Doors
Call Me Lightning	The Who
Jennifer Eccles	The Hollies
The Son Of Hickory Holler's Tramp	O.C. Smith
Master Jack	Four Jacks And A Jill
Forever Came Today	Diana Ross & The Supremes
Like To Get To Know You	Spanky And Our Gang
Does Your Mama Know About Me	Bobby Taylor & The Vancouvers
Valleri	The Monkees
My Girl/Hey Girl	Bobby Vee
Look To Your Soul	Johnny Rivers
Ame Caline (Soul Coaxing)	Raymond Lefevre and His Orchestra
Loving You Has Made Me Bananas	Guy Marks
Paying The Cost To Be The Boss	B.B. King
Wear It On Our Face	The Dells
I Wanna Live	Glen Campbell
Friends	The Beach Boys
I Could Never Love Another (After Loving You)	The Temptations
Jumbo	Bee Gees
Foggy Mountain Breakdown	Flatt & Scruggs
We're Rolling On (Part I)	The Impressions
I Can't Believe I'm Losing You	Frank Sinatra
I Love You	People
Yummy Yummy Yummy	Ohio Express
Goodbye Baby (I Don't Want To See You Cry)	Tommy Boyce & Bobby Hart
If You Don't Want My Love	Robert John
Baby Make Your Own Sweet Music	Jay And The Techniques
I Promise To Wait My Love	Martha Reeves & The Vandellas
Funky Walk Part I (East)	Dyke And The Blazers
Impossible Mission (Mission Impossible)	Soul Survivors
I'm Sorry	The Delfonics
Sherry Don't Go	The Lettermen
Unwind	Ray Stevens
L. David Sloane	Michele Lee
(You Keep Me) Hangin' On	Joe Simon
I Got A Sure Thing	Ollie & The Nightingales
May I Take A Giant Step (Into Your Heart)	1910 Fruitgum Co.
Cabaret	Herb Alpert & The Tijuana Brass
The Look Of Love	Sergio Mendes & Brasil '66
I Can Remember	James & Bobby Purify
MacArthur Park	Richard Harris
How'd We Ever Get This Way	Andy Kim
Love In Every Room	Paul Mauriat And His Orchestra
Here's To You	Hamilton Camp
Angel Of The Morning	Merrilee Rush & The Turnabouts
Gentle On My Mind	Patti Page
Never Give You Up	Jerry Butler
Chain Gang	Jackie Wilson & Count Basie
A Man Without Love (Quando M'innamoro)	Engelbert Humperdinck
I Wish I Knew (How It Would Feel To Be Free)	Solomon Burke
A Tribute To A King	William Bell
Soul Train	Classics IV
I Have A Dream	Rev. Martin Luther King, Jr.
He Don't Really Love You	The Delfonics
You Ain't Going Nowhere	The Byrds
Lili Marlene	Al Martino
Sleepy Joe	Herman's Hermits
Face It Girl, It's Over	Nancy Wilson
Apologize	Ed Ames
Brooklyn Roads	Neil Diamond
Anyone For Tennis	Cream
She's A Heartbreaker	Gene Pitney
