God's Plan	Drake
Perfect	Ed Sheeran
Finesse	Bruno Mars & Cardi B
Havana	Camila Cabello Featuring Young Thug
Rockstar	Post Malone Featuring 21 Savage
Look Alive	BlocBoy JB Featuring Drake
Meant To Be	Bebe Rexha & Florida Georgia Line
New Rules	Dua Lipa
All The Stars	Kendrick Lamar & SZA
Stir Fry	Migos
Pray For Me	The Weeknd & Kendrick Lamar
Let You Down	NF
Love.	Kendrick Lamar Featuring Zacari
Him & I	G-Eazy & Halsey
Thunder	Imagine Dragons
Bad At Love	Halsey
The Middle	Zedd, Maren Morris & Grey
MotorSport	Migos, Nicki Minaj & Cardi B
I Fall Apart	Post Malone
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
How Long	Charlie Puth
Mine	Bazzi
Bartier Cardi	Cardi B Featuring 21 Savage
Shape Of You	Ed Sheeran
Bodak Yellow (Money Moves)	Cardi B
Wolves	Selena Gomez X Marshmello
Lights Down Low	MAX Featuring gnash
Gummo	6ix9ine
Never Be The Same	Camila Cabello
Feel It Still	Portugal. The Man
Say Something	Justin Timberlake Featuring Chris Stapleton
Young Dumb & Broke	Khalid
Sky Walker	Miguel Featuring Travis Scott
Plain Jane	A$AP Ferg Featuring Nicki Minaj
River	Eminem Featuring Ed Sheeran
Marry Me	Thomas Rhett
Outside Today	YoungBoy Never Broke Again
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Too Good At Goodbyes	Sam Smith
Sorry Not Sorry	Demi Lovato
Ric Flair Drip	Offset & Metro Boomin
Gucci Gang	Lil Pump
Wait	Maroon 5
I Get The Bag	Gucci Mane Featuring Migos
1-800-273-8255	Logic Featuring Alessia Cara & Khalid
Lemon	N*E*R*D & Rihanna
You Make It Easy	Jason Aldean
Let Me Go	Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
X	ScHoolboy Q, 2 Chainz & Saudi
Roll In Peace	Kodak Black Featuring XXXTENTACION
Five More Minutes	Scotty McCreery
Walk It Talk It	Migos Featuring Drake
New Freezer	Rich The Kid Featuring Kendrick Lamar
Good Old Days	Macklemore Featuring Kesha
Written In The Sand	Old Dominion
El Farsante	Ozuna & Romeo Santos
Heaven	Kane Brown
Narcos	Migos
Broken Halos	Chris Stapleton
Pick It Up	Famous Dex Featuring A$AP Rocky
Dura	Daddy Yankee
Plug Walk	Rich The Kid
The Ways	Khalid & Swae Lee
Yours	Russell Dickerson
End Game	Taylor Swift Featuring Ed Sheeran & Future
You Broke Up With Me	Walker Hayes
Paramedic!	SOB X RBE
Legends	Kelsea Ballerini
Betrayed	Lil Xan
Nowadays	Lil Skies Featuring Landon Cube
Big Shot	Kendrick Lamar & Travis Scott
Friends	Marshmello & Anne-Marie
All On Me	Devin Dawson
Notice Me	Migos Featuring Post Malone
Whatever It Takes	Imagine Dragons
For You (Fifty Shades Freed)	Liam Payne & Rita Ora
KEKE	6ix9ine, Fetty Wap & A Boogie Wit da Hoodie
No Smoke	YoungBoy Never Broke Again
Echame La Culpa	Luis Fonsi & Demi Lovato
Tell Me You Love Me	Demi Lovato
Red Roses	Lil Skies Featuring Landon Cube
Most People Are Good	Luke Bryan
This Is Me	Keala Settle & The Greatest Showman Ensemble
Candy Paint	Post Malone
Hardaway	Derez De'Shon
La Modelo	Ozuna x Cardi B
One Foot	WALK THE MOON
Beautiful Trauma	P!nk
Singles You Up	Jordan Davis
Filthy	Justin Timberlake
Black Panther	Kendrick Lamar
At The Club	Jacquees X Dej Loaf
Codeine Dreaming	Kodak Black Featuring Lil Wayne
The Long Way	Brett Eldredge
Rock	Plies
I Like Me Better	Lauv
When We	Tank
Criminal	Natti Natasha x Ozuna
IDGAF	Dua Lipa
Rewrite The Stars	Zac Efron & Zendaya
