Photograph	Ringo Starr
Keep On Truckin' (Part 1)	Eddie Kendricks
Top Of The World	Carpenters
Space Race	Billy Preston
Heartbeat - It's A Lovebeat	The DeFranco Family featuring Tony DeFranco
Midnight Train To Georgia	Gladys Knight And The Pips
Just You 'n' Me	Chicago
Paper Roses	Marie Osmond
Goodbye Yellow Brick Road	Elton John
The Love I Lost (Part 1)	Harold Melvin And The Blue Notes
Angie	The Rolling Stones
The Most Beautiful Girl	Charlie Rich
I Got A Name	Jim Croce
You're A Special Part Of Me	Diana Ross & Marvin Gaye
Cheaper To Keep Her	Johnnie Taylor
Hello It's Me	Todd Rundgren
All I Know	Garfunkel
If You're Ready (Come Go With Me)	The Staple Singers
Half-Breed	Cher
Leave Me Alone (ruby Red Dress)	Helen Reddy
Why Me	Kris Kristofferson
Knockin' On Heaven's Door	Bob Dylan
Nutbush City Limits	Ike & Tina Turner
We May Never Pass This Way (Again)	Seals & Crofts
Ooh Baby	Gilbert O'Sullivan
Let Me Serenade You	Three Dog Night
Rockin' Roll Baby	The Stylistics
Ramblin Man	The Allman Brothers Band
The Joker	The Steve Miller Band
Never, Never Gonna Give Ya Up	Barry White
Come Get To This	Marvin Gaye
My Music	Loggins & Messina
Sweet Understanding Love	Four Tops
That Lady (Part 1)	The Isley Brothers
Be	Neil Diamond
Summer (The First Time)	Bobby Goldsboro
Show And Tell	Al Wilson
Living For The City	Stevie Wonder
Yes We Can Can	The Pointer Sisters
D'yer Mak'er	Led Zeppelin
MIND GAMES	John Lennon
Check It Out	Tavares
Corazón	Carole King
Who's In The Strawberry Patch With Sally	Tony Orlando & Dawn
Never Let You Go	Bloodstone
Fell For You	The Dramatics
Friends/chapel Of Love	Bette Midler
Time In A Bottle	Jim Croce
Hurts So Good	Millie Jackson
Sail Around The World	David Gates
Smokin' In The Boy's Room	Brownsville Station
Country Sunshine	Dottie West
Mammy Blue	Stories
Get It Together	Jackson 5
Some Guys Have All The Luck	The Persuaders
My Pretending Days Are Over	The Dells
Me And Baby Brother	War
Funky Stuff	Kool & The Gang
I Can't Stand The Rain	Ann Peebles
Little Girl Gone	Donna Fargo
Painted Ladies	Ian Thomas
Oh! No Not My Baby	Rod Stewart
"Having A Party" Medley	The Ovations (Featuring Louis Williams)
Dream On	Aerosmith
My Old School	Steely Dan
Helen Wheels	Paul McCartney And Wings
Pretty Lady	Lighthouse
I Don't Know What It Is, But It Sure Is Funky	Ripple
There Ain't No Way	Lobo
This Time I'm Gone For Good	Bobby "Blue" Bland
It's All Over	The Independents
Back For A Taste Of Your Love	Syl Johnson
Tell Her She's Lovely	El Chicano
I've Got To Use My Imagination	Gladys Knight And The Pips
Keep Your Head To The Sky	Earth, Wind & Fire
Rock 'N Roll (I Gave You The Best Years of My Life)	Kevin Johnson
Let Me Be There	Olivia Newton-John
Spiders & Snakes	Jim Stafford
I Wanna Know Your Name	The Intruders
Smarty Pants	First Choice
Frisky	Sly & The Family Stone
I'm Coming Home	Johnny Mathis
Let Me Try Again (Laisse Moi Le Temps)	Frank Sinatra
Sister Mary Elephant (Shudd-Up!)	Cheech & Chong
Rock On	David Essex
I Found Sunshine	The Chi-lites
When I Fall In Love/Are You Lonesome Tonight	Donny Osmond
Vado Via	Drupi
Redneck Friend	Jackson Browne
Walk Like A Man	Grand Funk
River	Joe Simon
The Way We Were	Barbra Streisand
A Song I'd Like To Sing	Kris Kristofferson & Rita Coolidge
Come Live With Me	Ray Charles
Baby Come Close	Smokey Robinson
Ain't Got No Home	The Band
If We Make It Through December	Merle Haggard
Until You Come Back To Me (That's What I'm Gonna Do)	Aretha Franklin
Last Kiss	Wednesday
Stealin'	Uriah Heep
