Afternoon Delight	Starland Vocal Band
Kiss And Say Goodbye	The Manhattans
I'll Be Good To You	The Brothers Johnson
Shop Around	Captain & Tennille
More, More, More Pt. 1	Andrea True Connection
Silly Love Songs	Wings
Misty Blue	Dorothy Moore
Love Is Alive	Gary Wright
Sara Smile	Daryl Hall John Oates
Got To Get You Into My Life	The Beatles
Never Gonna Fall In Love Again	Eric Carmen
Let Her In	John Travolta
Moonlight Feels Right	Starbuck
Take The Money And Run	Steve Miller
Rock And Roll Music	The Beach Boys
The Boys Are Back In Town	Thin Lizzy
If You Know What I Mean	Neil Diamond
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Get Up And Boogie (That's Right)	Silver Convention
You're My Best Friend	Queen
Love Hangover	Diana Ross
Turn The Beat Around	Vicki Sue Robinson
Today's The Day	America
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
Making Our Dreams Come True	Cyndi Grecco
I'm Easy	Keith Carradine
Save Your Kisses For Me	Brotherhood Of Man
Last Child	Aerosmith
I Need To Be In Love	Carpenters
Young Hearts Run Free	Candi Staton
Sophisticated Lady (She's A Different Lady)	Natalie Cole
Mamma Mia	ABBA
Somebody's Gettin' It	Johnnie Taylor
Good Vibrations	Todd Rundgren
Something He Can Feel	Aretha Franklin
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
You'll Never Find Another Love Like Mine	Lou Rawls
Silver Star	The 4 Seasons
I'd Really Love To See You Tonight	England Dan & John Ford Coley
Framed	Cheech & Chong
Livin' Ain't Livin'	Firefall
Let 'em In	Wings
This Masquerade	George Benson
Another Rainy Day In New York City	Chicago
Don't Go Breaking My Heart	Elton John & Kiki Dee
C'mon Marianne	Donny Osmond
Baby, I Love Your Way	Peter Frampton
Takin' It To The Streets	The Doobie Brothers
I'm Gonna Let My Heart Do The Walking	The Supremes
You Should Be Dancing	Bee Gees
Everything's Coming Up Love	David Ruffin
Hot Stuff/fool To Cry	The Rolling Stones
Steppin' Out	Neil Sedaka
I Want You	Marvin Gaye
It Keeps You Runnin'	Carly Simon
Fool For The City	Foghat
A Little Bit More	Dr. Hook
Foxy Lady	Crown Heights Affair
Heaven Must Be Missing An Angel (part 1)	Tavares
That's Where The Happy People Go	The Trammps
Who'd She Coo?	Ohio Players
Roots, Rock, Reggae	Bob Marley And The Wailers
Say You Love Me	Fleetwood Mac
Movin'	Brass Construction
Hold On	Sons Of Champlin
Ten Percent	Double Exposure
Blt	Lee Oskar
Cotton Candy	The Sylvers
Don't Touch Me There	The Tubes
Lowdown	Boz Scaggs
I'll Get Over You	Crystal Gayle
I Wanna Stay With You	Gallagher And Lyle
Shower The People	James Taylor
Wham Bam (Shang-A-Lang)	Silver
The Lonely One	Special Delivery Featuring Terry Huff
Crazy On You	Heart
Devil Woman	Cliff Richard
Play That Funky Music	Wild Cherry
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
Summer	War
Rainbow In Your Eyes	Leon & Mary Russell
I Never Cry	Alice Cooper
Dancin' Kid	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Hell Cat	Bellamy Brothers
Springtime Mama	Henry Gross
Better Place To Be (Parts 1 & 2)	Harry Chapin
Kid Charlemagne	Steely Dan
Try Me, I Know We Can Make It	Donna Summer
Honey Child	Bad Company
I've Been Lovin' You	Easy Street
I Hope We Get To Love In Time	Marilyn McCoo & Billy Davis Jr.
Hard Work	John Handy
Rain, Oh Rain	Fools Gold
Breaker - Breaker	Outlaws
Will You Love Me Tomorrow	Dana Valery
Who Loves You Better - Part 1	The Isley Brothers
Yes, Yes, Yes	Bill Cosby
Say You Love Me	D.J. Rogers
Lipstick	Michel Polnareff
Shannon	Henry Gross
