My Boo	Usher And Alicia Keys
Goodies	Ciara Featuring Petey Pablo
Lose My Breath	Destiny's Child
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Over And Over	Nelly Featuring Tim McGraw
She Will Be Loved	Maroon 5
Lean Back	Terror Squad
Just Lose It	Eminem
Breakaway	Kelly Clarkson
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Locked Up	Akon Featuring Styles P.
My Happy Ending	Avril Lavigne
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
Diary	Alicia Keys Featuring Tony! Toni! Tone!
My Place	Nelly Featuring Jaheim
Go D.J.	Lil Wayne
On The Way Down	Ryan Cabrera
Breathe	Fabolous
Charlene	Anthony Hamilton
One Thing	Finger Eleven
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
If I Ain't Got You	Alicia Keys
Balla Baby	Chingy
Pieces Of Me	Ashlee Simpson
1985	Bowling For Soup
Heaven	Los Lonely Boys
Hush	LL Cool J Featuring 7 Aurelius
The Reason	Hoobastank
Broken	Seether Featuring Amy Lee
Sunshine	Lil' Flip Featuring Lea
This Love	Maroon 5
Vertigo	U2
Dare You To Move	Switchfoot
Shorty Wanna Ride	Young Buck
Mr. Mom	Lonestar
Headsprung	LL Cool J
Nolia Clap	Juvenile, Wacko & Skip
In A Real Love	Phil Vassar
Let's Get It Started	The Black Eyed Peas
Turn Me On	Kevin Lyttle Featuring Spragga Benz
Breathe, Stretch, Shake	Mase Featuring P. Diddy
1, 2 Step	Ciara Featuring Missy Elliott
Baby It's You	JoJo Featuring Bow Wow
Slow Motion	Juvenile Featuring Soulja Slim
Let Me Love You	Mario
Suds In The Bucket	Sara Evans
Dip It Low	Christina Milian
Nothing On But The Radio	Gary Allan
Yeah!	Usher Featuring Lil Jon & Ludacris
That's What It's All About	Brooks & Dunn
I Don't Want To Be	Gavin DeGraw
Big Chips	R. Kelly & Jay-Z
No Problem	Lil Scrappy
I Hate Everything	George Strait
Stays In Mexico	Toby Keith
Breaking The Habit	Linkin Park
The Woman With You	Kenny Chesney
Back When	Tim McGraw
Why?	Jadakiss Featuring Anthony Hamilton
Shadow	Ashlee Simpson
Days Go By	Keith Urban
Some Beach	Blake Shelton
What You Waiting For?	Gwen Stefani
Tempted To Touch	Rupee
American Idiot	Green Day
Somebody Told Me	The Killers
How Am I Doin'	Dierks Bentley
Daughters	John Mayer
Fall To Pieces	Velvet Revolver
Take Me Home	Terror Squad
Getting Away With Murder	Papa Roach
Dangerously In Love	Beyonce
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
Rough & Ready	Trace Adkins
Just Like You	Three Days Grace
So Cold	Breaking Benjamin
Used To Love U	John Legend
Real Big	Mannie Fresh
If Nobody Believed In You	Joe Nichols
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
Accidentally In Love	Counting Crows
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Feels Like Today	Rascal Flatts
King Of The Dancehall	Beenie Man
White Tee's	Dem Franchize Boyz
Flap Your Wings	Nelly
Here For The Party	Gretchen Wilson
Cold	Crossfade
Hot 2Nite	New Edition
White Houses	Vanessa Carlton
Call My Name	Prince
Nasty Girl	Nitty
She Thinks She Needs Me	Andy Griggs
(Reach Up For The) Sunrise	Duran Duran
Take Me Out	Franz Ferdinand
You're My Everything	Anita Baker
Westside Story	The Game Featuring 50 Cent
Let's Get Away	T.I.
U Saved Me	R. Kelly
