Chapel Of Love	The Dixie Cups
A World Without Love	Peter And Gordon
Love Me With All Your Heart (Cuando Calienta El Sol)	The Ray Charles Singers
Love Me Do	The Beatles
My Guy	Mary Wells
Walk On By	Dionne Warwick
Little Children	Billy J. Kramer With The Dakotas
Hello, Dolly!	Louis Armstrong And The All Stars
People	Barbra Streisand
I Get Around	The Beach Boys
Diane	The Bachelors
(Just Like) Romeo & Juliet	The Reflections
Every Little Bit Hurts	Brenda Holloway
Do You Love Me	The Dave Clark Five
P.S. I Love You	The Beatles
My Boy Lollipop	Millie Small
Tell Me Why	Bobby Vinton
Today	The New Christy Minstrels
Once Upon A Time	Marvin Gaye & Mary Wells
Don't Let The Sun Catch You Crying	Gerry And The Pacemakers
What'd I Say	Elvis Presley With The Jubilee Four And Carole Lombard Quartet
Cotton Candy	Al Hirt
It's Over	Roy Orbison
Tears And Roses	Al Martino
Be Anything (But Be Mine)	Connie Francis
Bad To Me	Billy J. Kramer With The Dakotas
I Don't Want To Be Hurt Anymore	Nat King Cole
Three Window Coupe	The Rip Chords
Viva Las Vegas	Elvis Presley With The Jordanaires
No Particular Place To Go	Chuck Berry
Memphis	Johnny Rivers
I'll Touch A Star	Terry Stafford
Goodbye Baby (Baby Goodbye)	Solomon Burke
What's The Matter With You Baby	Marvin Gaye & Mary Wells
Yesterday's Gone	Chad & Jeremy
I Rise, I Fall	Johnny Tillotson
Rock Me Baby	B.B. King
Bits And Pieces	The Dave Clark Five
Beans In My Ears	The Serendipity Singers
I'm So Proud	The Impressions
Don't Throw Your Love Away	The Searchers
I Don't Wanna Be A Loser	Lesley Gore
Good Golly Miss Molly	The Swinging Blue Jeans
Sugar And Spice	The Searchers
Ronnie	The 4 Seasons Featuring the "Sound of Frankie Valli"
Wish Someone Would Care	Irma Thomas
Wrong For Each Other	Andy Williams
Tall Cool One	The Wailers
Too Late To Turn Back Now	Brook Benton
Giving Up	Gladys Knight And The Pips
Another Cup Of Coffee	Brook Benton
Gonna Get Along Without You Now	Skeeter Davis
Don't Worry Baby	The Beach Boys
Gonna' Get Along Without You Now	Tracey Dey
Hurt By Love	Inez Foxx
Party Girl	Bernadette Carroll
I'll Be In Trouble	The Temptations
The French Song	Lucille Starr
I Knew It All The Time	The Dave Clark Five
The World Of Lonely People	Anita Bryant
The Girl From Ipanema	Stan Getz/Astrud Gilberto
Good Times	Sam Cooke
Milord	Bobby Darin
Donnie	The Bermudas
My Baby Don't Dig Me	Ray Charles and his Orchestra
What Have I Got Of My Own	Trini Lopez
Rules Of Love	The Orlons
Can't You See That She's Mine	The Dave Clark Five
Try It Baby	Marvin Gaye
Keep On Pushing	The Impressions
One Way Love	The Drifters
Beg Me	Chuck Jackson
Everybody Knows	Steve Lawrence
Tennessee Waltz	Sam Cooke
Be My Girl	The Four-Evers
Hickory, Dick And Doc	Bobby Vee
Remember Me	Rita Pavone
Not Fade Away	The Rolling Stones
Kiko	Jimmy McGriff
Just Ain't Enough Love	Eddie Holland
Yesterday's Gone	The Overlanders
Lazy Elsie Molly	Chubby Checker
Alone	The 4 Seasons
The World I Used To Know	Jimmie Rodgers
Alone With You	Brenda Lee
It Ain't No Use	Major Lance
A World Without Love	Bobby Rydell
Something You Got	Alvin Robinson
Share Your Love With Me	Bobby Bland
Hey Harmonica Man	Stevie Wonder
The First Night Of The Full Moon	Jack Jones
That's Really Some Good	Rufus & Carla
I Wanna Be Loved	Dean And Jean
Dang Me	Roger Miller
Kick That Little Foot Sally Ann	Round Robin
My Dreams	Brenda Lee
Four By The Beatles	The Beatles
Good Time Tonight	The Soul Sisters
The Magic Of Our Summer Love	The Tymes
Dream Lover	The Paris Sisters
