Afternoon Delight	Starland Vocal Band
Kiss And Say Goodbye	The Manhattans
I'll Be Good To You	The Brothers Johnson
More, More, More Pt. 1	Andrea True Connection
Moonlight Feels Right	Starbuck
Love Is Alive	Gary Wright
Shop Around	Captain & Tennille
Got To Get You Into My Life	The Beatles
Silly Love Songs	Wings
Rock And Roll Music	The Beach Boys
Let Her In	John Travolta
Take The Money And Run	Steve Miller
The Boys Are Back In Town	Thin Lizzy
If You Know What I Mean	Neil Diamond
Misty Blue	Dorothy Moore
Get Closer	Seals & Crofts (Featuring Carolyn Willis)
Tear The Roof Off The Sucker (Give Up The Funk)	Parliament
You're My Best Friend	Queen
Turn The Beat Around	Vicki Sue Robinson
Never Gonna Fall In Love Again	Eric Carmen
Sara Smile	Daryl Hall John Oates
Let 'em In	Wings
Don't Go Breaking My Heart	Elton John & Kiki Dee
I'm Easy	Keith Carradine
You Should Be Dancing	Bee Gees
Last Child	Aerosmith
I Need To Be In Love	Carpenters
Young Hearts Run Free	Candi Staton
Sophisticated Lady (She's A Different Lady)	Natalie Cole
Get Up And Boogie (That's Right)	Silver Convention
This Masquerade	George Benson
You'll Never Find Another Love Like Mine	Lou Rawls
Something He Can Feel	Aretha Franklin
A Fifth Of Beethoven	Walter Murphy & The Big Apple Band
Heaven Must Be Missing An Angel (part 1)	Tavares
I'd Really Love To See You Tonight	England Dan & John Ford Coley
Baby, I Love Your Way	Peter Frampton
Today's The Day	America
Another Rainy Day In New York City	Chicago
Love Hangover	Diana Ross
Framed	Cheech & Chong
Livin' Ain't Livin'	Firefall
C'mon Marianne	Donny Osmond
Steppin' Out	Neil Sedaka
Who'd She Coo?	Ohio Players
It Keeps You Runnin'	Carly Simon
A Little Bit More	Dr. Hook
I'm Gonna Let My Heart Do The Walking	The Supremes
Hot Stuff/fool To Cry	The Rolling Stones
Making Our Dreams Come True	Cyndi Grecco
Roots, Rock, Reggae	Bob Marley And The Wailers
Everything's Coming Up Love	David Ruffin
Say You Love Me	Fleetwood Mac
Hold On	Sons Of Champlin
Foxy Lady	Crown Heights Affair
(Shake, Shake, Shake) Shake Your Booty	KC And The Sunshine Band
Summer	War
Good Vibrations	Todd Rundgren
Play That Funky Music	Wild Cherry
Shower The People	James Taylor
Silver Star	The 4 Seasons
Wham Bam (Shang-A-Lang)	Silver
Cotton Candy	The Sylvers
Ten Percent	Double Exposure
Blt	Lee Oskar
Lowdown	Boz Scaggs
Devil Woman	Cliff Richard
Don't Touch Me There	The Tubes
Save Your Kisses For Me	Brotherhood Of Man
Mamma Mia	ABBA
Somebody's Gettin' It	Johnnie Taylor
Springtime Mama	Henry Gross
Dancin' Kid	Disco Tex & The Sex-O-Lettes Featuring Sir Monti Rock III
Hell Cat	Bellamy Brothers
The Lonely One	Special Delivery Featuring Terry Huff
I Want You	Marvin Gaye
Fool For The City	Foghat
Gotta Be The One	Maxine Nightingale
Getaway	Earth, Wind & Fire
I Never Cry	Alice Cooper
Rainbow In Your Eyes	Leon & Mary Russell
Kid Charlemagne	Steely Dan
Wake Up Susan	The Spinners
Try Me, I Know We Can Make It	Donna Summer
Magic Man	Heart
Honey Child	Bad Company
Devil With A Blue Dress	Pratt & McClain
Ode To Billie Joe	Bobbie Gentry
Light Up The World With Sunshine	Hamilton, Joe Frank & Dennison
Street Singin'	Lady Flash
Hey Shirley (This Is Squirrely)	Shirley & Squirrely
Mary Hartman, Mary Hartman	The Deadly Nightshade
You To Me Are Everything	The Real Thing
You To Me Are Everything	Broadway
Up The Creek (without A Paddle)	The Temptations
Rock Creek Park	The Blackbyrds
Takin' It To The Streets	The Doobie Brothers
That's Where The Happy People Go	The Trammps
Movin'	Brass Construction
I'll Get Over You	Crystal Gayle
