God's Plan	Drake
Perfect	Ed Sheeran
Finesse	Bruno Mars & Cardi B
Havana	Camila Cabello Featuring Young Thug
Look Alive	BlocBoy JB Featuring Drake
Rockstar	Post Malone Featuring 21 Savage
All The Stars	Kendrick Lamar & SZA
Meant To Be	Bebe Rexha & Florida Georgia Line
Pray For Me	The Weeknd & Kendrick Lamar
Stir Fry	Migos
New Rules	Dua Lipa
Let You Down	NF
The Middle	Zedd, Maren Morris & Grey
Him & I	G-Eazy & Halsey
Love.	Kendrick Lamar Featuring Zacari
Thunder	Imagine Dragons
Bad At Love	Halsey
Mine	Bazzi
I Fall Apart	Post Malone
Lights Down Low	MAX Featuring gnash
How Long	Charlie Puth
MotorSport	Migos, Nicki Minaj & Cardi B
King's Dead	Jay Rock, Kendrick Lamar, Future & James Blake
Shape Of You	Ed Sheeran
Gummo	6ix9ine
Bartier Cardi	Cardi B Featuring 21 Savage
No Limit	G-Eazy Featuring A$AP Rocky & Cardi B
Never Be The Same	Camila Cabello
Wolves	Selena Gomez X Marshmello
Say Something	Justin Timberlake Featuring Chris Stapleton
Young Dumb & Broke	Khalid
Feel It Still	Portugal. The Man
Bodak Yellow (Money Moves)	Cardi B
River	Eminem Featuring Ed Sheeran
Outside Today	YoungBoy Never Broke Again
Marry Me	Thomas Rhett
Sky Walker	Miguel Featuring Travis Scott
Plain Jane	A$AP Ferg Featuring Nicki Minaj
Wait	Maroon 5
Ric Flair Drip	Offset & Metro Boomin
Sorry Not Sorry	Demi Lovato
You Make It Easy	Jason Aldean
Love Lies	Khalid & Normani
Five More Minutes	Scotty McCreery
Too Good At Goodbyes	Sam Smith
New Freezer	Rich The Kid Featuring Kendrick Lamar
Gucci Gang	Lil Pump
Lemon	N*E*R*D & Rihanna
I Get The Bag	Gucci Mane Featuring Migos
Let Me Go	Hailee Steinfeld & Alesso Featuring Florida Georgia Line & Watt
Good Old Days	Macklemore Featuring Kesha
Walk It Talk It	Migos Featuring Drake
Broken Halos	Chris Stapleton
Heaven	Kane Brown
X	ScHoolboy Q, 2 Chainz & Saudi
El Farsante	Ozuna & Romeo Santos
Dura	Daddy Yankee
Friends	Marshmello & Anne-Marie
Written In The Sand	Old Dominion
Whatever It Takes	Imagine Dragons
Pick It Up	Famous Dex Featuring A$AP Rocky
Narcos	Migos
Most People Are Good	Luke Bryan
You Broke Up With Me	Walker Hayes
Paramedic!	SOB X RBE
Betrayed	Lil Xan
Yours	Russell Dickerson
The Ways	Khalid & Swae Lee
Plug Walk	Rich The Kid
All On Me	Devin Dawson
Tell Me You Love Me	Demi Lovato
La Modelo	Ozuna x Cardi B
Nowadays	Lil Skies Featuring Landon Cube
No Smoke	YoungBoy Never Broke Again
Hardaway	Derez De'Shon
Echame La Culpa	Luis Fonsi & Demi Lovato
Singles You Up	Jordan Davis
Red Roses	Lil Skies Featuring Landon Cube
When We	Tank
The Long Way	Brett Eldredge
Beautiful Trauma	P!nk
KEKE	6ix9ine, Fetty Wap & A Boogie Wit da Hoodie
Big Shot	Kendrick Lamar & Travis Scott
Candy Paint	Post Malone
This Is Me	Keala Settle & The Greatest Showman Ensemble
At The Club	Jacquees X Dej Loaf
Legends	Kelsea Ballerini
Notice Me	Migos Featuring Post Malone
Codeine Dreaming	Kodak Black Featuring Lil Wayne
I Like Me Better	Lauv
End Game	Taylor Swift Featuring Ed Sheeran & Future
For You (Fifty Shades Freed)	Liam Payne & Rita Ora
Get You	Daniel Caesar Featuring Kali Uchis
Corazon	Maluma X Nego do Borel
Rock	Plies
IDGAF	Dua Lipa
Rubbin Off The Paint	YBN Nahmir
One Foot	WALK THE MOON
Female	Keith Urban
Mayores	Becky G Featuring Bad Bunny
