Call Me Maybe	Carly Rae Jepsen
Lights	Ellie Goulding
Whistle	Flo Rida
Wide Awake	Katy Perry
Payphone	Maroon 5 Featuring Wiz Khalifa
Somebody That I Used To Know	Gotye Featuring Kimbra
Where Have You Been	Rihanna
Titanium	David Guetta Featuring Sia
Home	Phillip Phillips
Blow Me (One Last Kiss)	P!nk
Some Nights	fun.
Scream	Usher
Want U Back	Cher Lloyd
Good Time	Owl City & Carly Rae Jepsen
As Long As You Love Me	Justin Bieber Featuring Big Sean
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Let's Go	Calvin Harris Featuring Ne-Yo
Give Your Heart A Break	Demi Lovato
Everybody Talks	Neon Trees
We Are Young	fun. Featuring Janelle Monae
What Makes You Beautiful	One Direction
Starships	Nicki Minaj
Pontoon	Little Big Town
Too Close	Alex Clare
Wild Ones	Flo Rida Featuring Sia
No Lie	2 Chainz Featuring Drake
I Won't Give Up	Jason Mraz
We Run The Night	Havana Brown Featuring Pitbull
Come Over	Kenny Chesney
One More Night	Maroon 5
Glad You Came	The Wanted
Angel Eyes	Love And Theft
Drive By	Train
(Kissed You) Good Night	Gloriana
Work Hard, Play Hard	Wiz Khalifa
Wanted	Hunter Hayes
Feel So Close	Calvin Harris
Stronger (What Doesn't Kill You)	Kelly Clarkson
Drunk On You	Luke Bryan
Cashin' Out	Ca$h Out
One Thing	One Direction
Take A Little Ride	Jason Aldean
Brokenhearted	Karmin
Dark Side	Kelly Clarkson
Heart Attack	Trey Songz
Lemme See	Usher Featuring Rick Ross
Blown Away	Carrie Underwood
Tongue Tied	Grouplove
Over	Blake Shelton
Pound The Alarm	Nicki Minaj
5-1-5-0	Dierks Bentley
Chasing The Sun	The Wanted
Boyfriend	Justin Bieber
The Fighter	Gym Class Heroes Featuring Ryan Tedder
Ho Hey	The Lumineers
Little Talks	Of Monsters And Men
Time Is Love	Josh Turner
Settle Down	No Doubt
Burn It Down	Linkin Park
Why Ya Wanna	Jana Kramer
Truck Yeah	Tim McGraw
Amen	Meek Mill Featuring Drake
She's So Mean	matchbox twenty
Postcard From Paris	The Band Perry
2 Reasons	Trey Songz Featuring T.I.
Back In Time	Pitbull
Cowboys And Angels	Dustin Lynch
Don't Wake Me Up	Chris Brown
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Hard To Love	Lee Brice
50 Ways To Say Goodbye	Train
Both Of Us	B.o.B Featuring Taylor Swift
For You	Keith Urban
Take It To The Head	DJ Khaled Featuring Chris Brown, Rick Ross, Nicki Minaj & Lil Wayne
Nobody's Perfect	J. Cole Featuring Missy Elliott
The Wind	Zac Brown Band
Thinkin Bout You	Frank Ocean
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
New Day	50 Cent Featuring Dr. Dre & Alicia Keys
Beez In The Trap	Nicki Minaj Featuring 2 Chainz
Snap Backs & Tattoos	Driicky Graham
Adorn	Miguel
It's Time	Imagine Dragons
My Homies Still	Lil Wayne Featuring Big Sean
Fastest Girl In Town	Miranda Lambert
Glass	Thompson Square
Come Wake Me Up	Rascal Flatts
That's Why I Pray	Big & Rich
Diced Pineapples	Rick Ross Featuring Wale & Drake
Dance Again	Jennifer Lopez Featuring Pitbull
Lovin' You Is Fun	Easton Corbin
The A Team	Ed Sheeran
Radioactive	Imagine Dragons
Enough Of No Love	Keyshia Cole Featuring Lil Wayne
Promises	NERO
Crew Love	Drake Featuring The Weeknd
Neon	Chris Young
Something To Do With My Hands	Thomas Rhett
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Swimming Pools (Drank)	Kendrick Lamar
