My Love	Paul McCartney And Wings
Frankenstein	Edgar Winter Group
Pillow Talk	Sylvia (r&b)
Daniel	Elton John
Playground In My Mind	Clint Holmes
I'm Gonna Love You Just A Little More Baby	Barry White
Tie A Yellow Ribbon Round The Ole Oak Tree	Dawn Featuring Tony Orlando
You Are The Sunshine Of My Life	Stevie Wonder
Hocus Pocus	Focus
Long Train Runnin'	The Doobie Brothers
Right Place Wrong Time	Dr. John
Drift Away	Dobie Gray
Give Me Love - (Give Me Peace On Earth)	George Harrison
Will It Go Round In Circles	Billy Preston
One Of A Kind (Love Affair)	The Spinners
Wildflower	Skylark
Kodachrome	Paul Simon
Stuck In The Middle With You	Stealers Wheel
Shambala	Three Dog Night
I'm Doin' Fine Now	New York City
Steamroller Blues/Fool	Elvis Presley
Reeling In The Years	Steely Dan
The Night The Lights Went Out In Georgia	Vicki Lawrence
Little Willy	The Sweet
The Right Thing To Do	Carly Simon
Bad, Bad Leroy Brown	Jim Croce
Thinking Of You	Loggins & Messina
Leaving Me	The Independents
Funky Worm	Ohio Players
Natural High	Bloodstone
No More Mr. Nice Guy	Alice Cooper
The Cisco Kid	War
And I Love You So	Perry Como
Give It To Me	The J. Geils Band
Daddy Could Swear, I Declare	Gladys Knight And The Pips
You'll Never Get To Heaven (If You Break My Heart)	The Stylistics
Teddy Bear Song	Barbara Fairchild
Behind Closed Doors	Charlie Rich
Boogie Woogie Bugle Boy	Bette Midler
Let's Pretend	Raspberries
Close Your Eyes	Edward Bear
You Can't Always Get What You Want	The Rolling Stones
Back When My Hair Was Short	Gunhill Road
Diamond Girl	Seals & Crofts
Smoke On The Water	Deep Purple
Satin Sheets	Jeanne Pruett
I Can Understand It	The New Birth
Money	Pink Floyd
Give Your Baby A Standing Ovation	The Dells
The Free Electric Band	Albert Hammond
Super Fly Meets Shaft	John & Ernest
Drinking Wine Spo-dee O'dee	Jerry Lee Lewis
Hey You! Get Off My Mountain	The Dramatics
Swamp Witch	Jim Stafford
With A Child's Heart	Michael Jackson
It Sure Took A Long, Long Time	Lobo
Monster Mash	Bobby "Boris" Pickett And The Crypt-Kickers
Armed And Extremely Dangerous	First Choice
Why Me	Kris Kristofferson
Doing It To Death	Fred Wesley & The J.B.'s
So Very Hard To Go	Tower Of Power
Hearts Of Stone	The Blue Ridge Rangers
Misdemeanor	Foster Sylvers
Time To Get Down	The O'Jays
Touch Me In The Morning	Diana Ross
Shambala	B.W. Stevenson
I' Been Watchin' You	The South Side Movement
What About Me	Anne Murray
Yesterday Once More	Carpenters
Love And Happiness	Earnest Jackson
Brother's Gonna Work It Out	Willie Hutch
Isn't It About Time	Stephen Stills-Manassas
There's No Me Without You	The Manhattans
Finder's Keepers	Chairman Of The Board
Never, Never, Never (Grande, Grande, Grande)	Shirley Bassey
Without You In My Life	Tyrone Davis
Think	James Brown
Fencewalk	Mandrill
I'll Always Love My Mama (Part I)	The Intruders
The Plastic Man	The Temptations
I'd Rather Be A Cowboy	John Denver
I Like You	Donovan
First Cut Is The Deepest	Keith Hampshire
A Passion Play (Edit #8)	Jethro Tull
Letter To Lucille	Tom Jones
What's Your Mama's Name	Tanya Tucker
Bad Weather	The Supremes
Don't Let It Get You Down	The Crusaders
Come Live With Me	Roy Clark
I Can Make It Thru The Days (But Oh Those Lonely Nights)	Ray Charles
Together We Can Make Such Sweet Music	The Spinners
Black Byrd	Donald Byrd
Out Of The Question	Gilbert O'Sullivan
My Heart Just Keeps On Breakin'	The Chi-lites
Your Side Of The Bed	Mac Davis
Soul Makossa	Afrique
Mother-in-law	Clarence Carter
Avenging Annie	Andy Pratt
I Don't Want To Make You Wait	The Delfonics
Roll Over Beethoven	Electric Light Orchestra
