Baby Boy	Beyonce Featuring Sean Paul
Stand Up	Ludacris Featuring Shawnna
Holidae In	Chingy Featuring Ludacris & Snoop Dogg
Damn!	YoungBloodZ Featuring Lil Jon
Here Without You	3 Doors Down
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
The Way You Move	OutKast Featuring Sleepy Brown
Rain On Me	Ashanti
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Walked Outta Heaven	Jagged Edge
Suga Suga	Baby Bash Featuring Frankie J
Step In The Name Of Love	R. Kelly
Hey Ya!	OutKast
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Right Thurr	Chingy
Headstrong	Trapt
Unwell	matchbox twenty
Harder To Breathe	Maroon 5
Wat Da Hook Gon Be	Murphy Lee Featuring Jermaine Dupri
Into You	Fabolous Featuring Tamia Or Ashanti
Stacy's Mom	Fountains Of Wayne
Someday	Nickelback
Bright Lights	matchbox twenty
So Far Away	Staind
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
I Love This Bar	Toby Keith
It's My Life	No Doubt
Stunt 101	G Unit
Pass That Dutch	Missy Elliott
Who Wouldn't Wanna Be Me	Keith Urban
White Flag	Dido
Can't Stop, Won't Stop	Young Gunz
Where Is The Love?	The Black Eyed Peas
Read Your Mind	Avant
Calling All Angels	Train
Milkshake	Kelis
P.I.M.P.	50 Cent
Me Against The Music	Britney Spears Featuring Madonna
Runnin (Dying To Live)	Tupac Featuring The Notorious B.I.G.
(There's Gotta Be) More To Life	Stacie Orrico
Drift Away	Uncle Kracker Featuring Dobie Gray
I Melt	Rascal Flatts
Bigger Than My Body	John Mayer
Crazy In Love	Beyonce Featuring Jay Z
Thoia Thoing	R. Kelly
Frontin'	Pharrell Featuring Jay-Z
Clap Back	Ja Rule
Clubbin	Marques Houston Featuring Joe Budden & Pied Piper
Why Can't I?	Liz Phair
Bad Boy This Bad Boy That	Bad Boy's Da Band
Tough Little Boys	Gary Allan
Wave On Wave	Pat Green
So Yesterday	Hilary Duff
Change Clothes	JAY-Z
Cowboys Like Us	George Strait
This One's For The Girls	Martina McBride
Breathe	Michelle Branch
The First Cut Is The Deepest	Sheryl Crow
Perfect	Simple Plan
Numb	Linkin Park
Weak And Powerless	A Perfect Circle
Fallen	Sarah McLachlan
You Don't Know My Name	Alicia Keys
Hell Yeah	Montgomery Gentry
There Goes My Life	Kenny Chesney
Chicks Dig It	Chris Cagle
Heaven	Live
Party To Damascus	Wyclef Jean Featuring Missy Elliott
Walking In Memphis	Lonestar
Hot & Wet	112 Featuring Ludacris
You Can't Take The Honky Tonk Out Of The Girl	Brooks & Dunn
I Can Only Imagine	MercyMe
Real Good Man	Tim McGraw
Walk A Little Straighter	Billy Currington
Faint	Linkin Park
Still Frame	Trapt
Honesty (Write Me A List)	Rodney Atkins
Me, Myself And I	Beyonce
Low	Kelly Clarkson
Knock Knock	Monica
Show Me How To Live	Audioslave
Amazing	Josh Kelley
Roc Ya Body "Mic Check 1,2"	M.V.P. (Most Valuable Playas) Featuring Stagga Lee
Forthenight	Musiq
The Boys Of Summer	The Ataris
If I Can't	50 Cent
Naggin	Ying Yang Twins
Another Postcard (Chimps)	Barenaked Ladies
Ooh!	Mary J. Blige
Love You More	Ginuwine
Senorita	Justin Timberlake
Salt Shaker	Ying Yang Twins Featuring Lil Jon & The East Side Boyz
Waiting For You	Seal
Find A Way	Dwele
Gigolo	Nick Cannon Featuring R. Kelly
Take Me Away	Fefe Dobson
This Is How We Do	Big Tymers
Officially Missing You	Tamia
Pon De River, Pon De Bank	Elephant Man
Got Some Teeth	Obie Trice
