Whistle	Flo Rida
We Are Never Ever Getting Back Together	Taylor Swift
One More Night	Maroon 5
Lights	Ellie Goulding
Some Nights	fun.
Everybody Talks	Neon Trees
Wide Awake	Katy Perry
Good Time	Owl City & Carly Rae Jepsen
As Long As You Love Me	Justin Bieber Featuring Big Sean
Call Me Maybe	Carly Rae Jepsen
Blow Me (One Last Kiss)	P!nk
Payphone	Maroon 5 Featuring Wiz Khalifa
Titanium	David Guetta Featuring Sia
Somebody That I Used To Know	Gotye Featuring Kimbra
Too Close	Alex Clare
Give Your Heart A Break	Demi Lovato
Want U Back	Cher Lloyd
Where Have You Been	Rihanna
Mercy	Kanye West, Big Sean, Pusha T, 2 Chainz
Pound The Alarm	Nicki Minaj
Home	Phillip Phillips
I Won't Give Up	Jason Mraz
Pontoon	Little Big Town
Wanted	Hunter Hayes
Let's Go	Calvin Harris Featuring Ne-Yo
No Lie	2 Chainz Featuring Drake
Don't Wake Me Up	Chris Brown
We Are Young	fun. Featuring Janelle Monae
What Makes You Beautiful	One Direction
Blown Away	Carrie Underwood
Take A Little Ride	Jason Aldean
50 Ways To Say Goodbye	Train
Scream	Usher
Starships	Nicki Minaj
Heart Attack	Trey Songz
Wild Ones	Flo Rida Featuring Sia
Ho Hey	The Lumineers
Glad You Came	The Wanted
Drive By	Train
She's So Mean	matchbox twenty
Work Hard, Play Hard	Wiz Khalifa
Pop That	French Montana Featuring Rick Ross, Drake, Lil Wayne
2 Reasons	Trey Songz Featuring T.I.
Time Is Love	Josh Turner
Cowboys And Angels	Dustin Lynch
Come Over	Kenny Chesney
Dark Side	Kelly Clarkson
Over	Blake Shelton
Stronger (What Doesn't Kill You)	Kelly Clarkson
Little Talks	Of Monsters And Men
Angel Eyes	Love And Theft
Why Ya Wanna	Jana Kramer
Adorn	Miguel
Hard To Love	Lee Brice
For You	Keith Urban
Lemme See	Usher Featuring Rick Ross
Truck Yeah	Tim McGraw
Let Me Love You (Until You Learn To Love Yourself)	Ne-Yo
Amen	Meek Mill Featuring Drake
Tongue Tied	Grouplove
Feel Again	OneRepublic
Burn It Down	Linkin Park
It's Time	Imagine Dragons
I Can Only Imagine	David Guetta Featuring Chris Brown & Lil Wayne
Settle Down	No Doubt
Turn On The Lights	Future
Come Wake Me Up	Rascal Flatts
I Will Wait	Mumford & Sons
The A Team	Ed Sheeran
Fastest Girl In Town	Miranda Lambert
Bag Of Money	Wale Featuring Rick Ross, Meek Mill & T-Pain
Lovin' You Is Fun	Easton Corbin
Battle Scars	Lupe Fiasco & Guy Sebastian
The Wind	Zac Brown Band
Kiss Tomorrow Goodbye	Luke Bryan
Cruise	Florida Georgia Line Featuring Nelly
Chasing The Sun	The Wanted
Thinkin Bout You	Frank Ocean
Birthday Song	2 Chainz Featuring Kanye West
The One That Got Away	Jake Owen
Both Of Us	B.o.B Featuring Taylor Swift
Snap Backs & Tattoos	Driicky Graham
5-1-5-0	Dierks Bentley
Promises	NERO
Tonight (Best You Ever Had)	John Legend Featuring Ludacris
That's Why I Pray	Big & Rich
Postcard From Paris	The Band Perry
Enough Of No Love	Keyshia Cole Featuring Lil Wayne
Hello	Karmin
Nobody's Perfect	J. Cole Featuring Missy Elliott
Creepin'	Eric Church
Put It Down	Brandy Featuring Chris Brown
My Homies Still	Lil Wayne Featuring Big Sean
Shinin' On Me	Jerrod Niemann
Madness	Muse
Thrift Shop	Macklemore & Ryan Lewis Featuring Wanz
Swimming Pools (Drank)	Kendrick Lamar
Wanted You More	Lady Antebellum
Take A Walk	Passion Pit
Ice	Kelly Rowland Featuring Lil Wayne
