Butter	BTS
Good 4 U	Olivia Rodrigo
Levitating	Dua Lipa Featuring DaBaby
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Save Your Tears	The Weeknd & Ariana Grande
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Kiss Me More	Doja Cat Featuring SZA
Deja Vu	Olivia Rodrigo
Astronaut In The Ocean	Masked Wolf
Montero (Call Me By Your Name)	Lil Nas X
Without You	The Kid LAROI
Traitor	Olivia Rodrigo
Drivers License	Olivia Rodrigo
Rapstar	Polo G
Forever After All	Luke Combs
Favorite Crime	Olivia Rodrigo
Blinding Lights	The Weeknd
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Brutal	Olivia Rodrigo
Happier	Olivia Rodrigo
Calling My Phone	Lil Tjay Featuring 6LACK
Best Friend	Saweetie Featuring Doja Cat
Heartbreak Anniversary	Giveon
Up	Cardi B
Heat Waves	Glass Animals
Every Chance I Get	DJ Khaled Featuring Lil Baby & Lil Durk
Enough For You	Olivia Rodrigo
my.life	J. Cole, 21 Savage & Morray
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
Mood	24kGoldn Featuring iann dior
My Ex's Best Friend	Machine Gun Kelly X blackbear
Track Star	Mooski
Wockesha	Moneybagg Yo
Telepatia	Kali Uchis
Back In Blood	Pooh Shiesty Featuring Lil Durk
Gone	Dierks Bentley
pov	Ariana Grande
1 Step Forward, 3 Steps Back	Olivia Rodrigo
Wants And Needs	Drake Featuring Lil Baby
The Good Ones	Gabby Barrett
What You Know Bout Love	Pop Smoke
Jealousy, Jealousy	Olivia Rodrigo
Famous Friends	Chris Young + Kane Brown
Hell Of A View	Eric Church
pride.is.the.devil	J. Cole & Lil Baby
On Me	Lil Baby
Settling Down	Miranda Lambert
Time Today	Moneybagg Yo
Breaking Up Was Easy In The 90's	Sam Hunt
Nobody	Dylan Scott
Almost Maybes	Jordan Davis
Hope Ur OK	Olivia Rodrigo
Lil Bit	Nelly & Florida Georgia Line
We're Good	Dua Lipa
Ski	Young Thug & Gunna
Build A Bitch	Bella Poarch
Made For You	Jake Owen
Miss The Rage	Trippie Redd & Playboi Carti
No More Parties	Coi Leray Featuring Lil Durk
Your Power	Billie Eilish
Gang Gang	Polo G & Lil Wayne
Killer	Eminem Featuring Jack Harlow & Cordae
Blame It On You	Jason Aldean
Tell Em	Cochise & $NOT
amari	J. Cole
Todo de Ti	Rauw Alejandro
Seeing Green	Nicki Minaj, Drake & Lil Wayne
Glad You Exist	Dan + Shay
Minimum Wage	Blake Shelton
Single Saturday Night	Cole Swindell
One Too Many	Keith Urban Duet With P!nk
Leave Before You Love Me	Marshmello X Jonas Brothers
Quicksand	Morray
4 Da Gang	42 Dugg & Roddy Ricch
Drinkin' Beer. Talkin' God. Amen.	Chase Rice Featuring Florida Georgia Line
What's Next	Drake
Way Less Sad	AJR
Straightenin	Migos
Tombstone	Rod Wave
Maybach	42 Dugg Featuring Future
Voice Of The Heroes	Lil Baby & Lil Durk
Twerkulator	City Girls
Goosebumps	Travis Scott & HVME
Solid	Young Thug & Gunna Featuring Drake
Arcade	Duncan Laurence
Follow You	Imagine Dragons
Chasing After You	Ryan Hurd With Maren Morris
Hello	Pop Smoke Featuring A Boogie Wit da Hoodie
Country Again	Thomas Rhett
Pick Up Your Feelings	Jazmine Sullivan
The Business	Tiesto
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
Things A Man Oughta Know	Lainey Wilson
95.south	J. Cole
Drankin N Smokin	Future & Lil Uzi Vert
All I Know So Far	P!nk
Hold On	Justin Bieber
Wasted On You	Morgan Wallen
Outside	MO3 X OG Bobby Billions
Botella Tras Botella	Gera MX + Christian Nodal
