My Boyfriend's Back	The Angels
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Fingertips - Pt 2	Little Stevie Wonder
Candy Girl	The 4 Seasons
Blowin' In The Wind	Peter, Paul & Mary
If I Had A Hammer	Trini Lopez
Judy's Turn To Cry	Lesley Gore
Mockingbird	Inez Foxx with Charlie Foxx
More	Kai Winding & Orchestra
Denise	Randy & The Rainbows
Blue Velvet	Bobby Vinton
The Monkey Time	Major Lance
Surfer Girl	The Beach Boys
Heat Wave	Martha & The Vandellas
Hey, Girl	Freddie Scott
Danke Schoen	Wayne Newton And The Newton Brothers
(You're the) Devil In Disguise	Elvis Presley With The Jordanaires
Wipe Out	The Surfaris
Frankie And Johnny	Sam Cooke
Then He Kissed Me	The Crystals
Painted, Tainted Rose	Al Martino
So Much In Love	The Tymes
True Love Never Runs Smooth	Gene Pitney
Green, Green	The New Christy Minstrels
Surf City	Jan & Dean
Make The World Go Away	Timi Yuro
Wait Til' My Bobby Gets Home	Darlene Love
Twist It Up	Chubby Checker
I Want To Stay Here	Steve & Eydie
You Can Never Stop Me Loving You	Johnny Tillotson
I (Who Have Nothing)	Ben E. King
Abilene	George Hamilton IV
Martian Hop	The Ran-Dells
The Kind Of Boy You Can't Forget	The Raindrops
Wonderful! Wonderful!	The Tymes
Desert Pete	The Kingston Trio
My Whole World Is Falling Down	Brenda Lee
Drownin' My Sorrows	Connie Francis
Mickey's Monkey	The Miracles
Hey There Lonely Boy	Ruby And The Romantics
Easier Said Than Done	The Essex
Marlena	The 4 Seasons
Please Don't Talk To The Lifeguard	Diane Ray
When A Boy Falls In Love	Mel Carter
It Hurts To Be Sixteen	Andrea Carroll
Detroit City	Bobby Bare
Just One Look	Doris Troy
Memphis	Lonnie Mack
Hopeless	Andy Williams
Little Deuce Coupe	The Beach Boys
The Lonely Surfer	Jack Nitzsche
Surfin' Hootenanny	Al Casey
It's Too Late	Wilson Pickett
Straighten Up Your Heart	Barbara Lewis
Groovy Baby	Billy Abbott And The Jewels
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
The Dreamer	Neil Sedaka
Everybody Monkey	Freddy Cannon
Why Don't You Believe Me	The Duprees featuring Joey Vann
Mama Don't Allow	The Rooftop Singers
Daughter	The Blenders
Only In America	Jay & The Americans
Sally, Go 'round The Roses	The Jaynetts
I Wonder	Brenda Lee
Leave Me Alone	Baby Washington
A Walkin' Miracle	The Essex Featuring Anita Humes
This Is All I Ask	Burl Ives
Lucky Lips	Cliff Richard
Cry Baby	Garnet Mimms & The Enchanters
This Is All I Ask	Tony Bennett
More	Vic Dana
8 X 10	Bill Anderson
Birthday Party	The Pixies Three
Part Time Love	Little Johnny Taylor
Shake! Shake! Shake!	Jackie Wilson
China Nights (Shina No Yoru)	Kyu Sakamoto
These Foolish Things	James Brown And The Famous Flames
It's A Lonely Town (Lonely Without You)	Gene McDaniels
My Daddy Knows Best	The Marvelettes
A Breath Taking Guy	The Supremes
Make The Music Play	Dionne Warwick
(I Cried at) Laura's Wedding	Barbara Lynn
Treat My Baby Good	Bobby Darin
Wham!	Lonnie Mack
Something Old, Something New	Paul and Paula
Pay Back	Etta James
This Is My Prayer	Theola Kilgore
Man's Temptation	Gene Chandler
Organ Shout	Dave "Baby" Cortez
Be My Baby	The Ronettes
Gone	The Rip Chords
Surfer Joe	The Surfaris
Tell Me The Truth	Nancy Wilson
Hear The Bells	The Tokens
Love Me All The Way	Kim Weston
Chinese Checkers	Booker T. & The MG's
That Sunday, That Summer	Nat King Cole
Faded Love	Patsy Cline
Betty In Bermudas	The Dovells
Make The World Go Away	Ray Price
