Windy	The Association
Little Bit O' Soul	The Music Explosion
Can't Take My Eyes Off You	Frankie Valli
San Francisco (Be Sure To Wear Flowers In Your Hair)	Scott McKenzie
Don't Sleep In The Subway	Petula Clark
Come On Down To My Boat	Every Mothers' Son
Up -- Up And Away	The 5th Dimension
Light My Fire	The Doors
C'mon Marianne	The 4 Seasons Featuring the "Sound of Frankie Valli"
A Whiter Shade Of Pale	Procol Harum
I Was Made To Love Her	Stevie Wonder
White Rabbit	Jefferson Airplane
The Tracks Of My Tears	Johnny Rivers
Society's Child (Baby I've Been Thinking)	Janis Ian
Here We Go Again	Ray Charles
Let's Live For Today	The Grass Roots
Mercy, Mercy, Mercy	The Buckinghams
Alfie	Dionne Warwick
Ain't No Mountain High Enough	Marvin Gaye & Tammi Terrell
I Take It Back	Sandy Posey
Jackson	Nancy Sinatra & Lee Hazlewood
Soul Finger	Bar-Kays
Don't Go Out Into The Rain (You're Going To Melt)	Herman's Hermits
Step Out Of Your Mind	The American Breed
More Love	Smokey Robinson & The Miracles
Make Me Yours	Bettye Swann
For Your Love	Peaches & Herb
Carrie-Anne	The Hollies
Ding Dong! The Witch Is Dead	The Fifth Estate
There Goes My Everything	Engelbert Humperdinck
Shake, Rattle & Roll	Arthur Conley
Silence Is Golden	The Tremeloes
She'd Rather Be With Me	The Turtles
For Your Precious Love	Oscar Toney, Jr.
I Like The Way	Tommy James And The Shondells
Respect	Aretha Franklin
Don't Blame The Children	Sammy Davis Jr.
Groovin'	The Young Rascals
Mary In The Morning	Al Martino
Bowling Green	The Everly Brothers
Love Me Tender	Percy Sledge
In The Chapel In The Moonlight	Dean Martin
Pay You Back With Interest	The Hollies
You Must Have Been A Beautiful Baby	The Dave Clark Five
Hypnotized	Linda Jones
Airplane Song (My Airplane)	The Royal Guardsmen
Let The Good Times Roll & Feel So Good	Bunny Sigler
Show Business	Lou Rawls
Your Unchanging Love	Marvin Gaye
Take Me (Just As I Am)	Solomon Burke
You Wanted Someone To Play With (I Wanted Someone To Love)	Frankie Laine
My Mammy	The Happenings
The Happening	Herb Alpert & The Tijuana Brass
Somebody Help Me	The Spencer Davis Group
You Only Live Twice	Nancy Sinatra
Soothe Me	Sam & Dave
You Were On My Mind	Crispian St. Peters
Joy	Mitch Ryder
Soul Dance Number Three	Wilson Pickett
(I Wanna) Testify	The Parliaments
A Girl Like You	The Young Rascals
Lonely Drifter	Pieces Of Eight
Woman Like That, Yeah	Joe Tex
The River Is Wide	The Forum
Pictures Of Lily	The Who
Summer And Sandy	Lesley Gore
Who's Lovin' You	Brenda & The Tabulations
Black Sheep	Sam The Sham and the Pharaohs
Baby Please Come Back Home	J.J. Barnes
You Keep Me Hangin' On	The Vanilla Fudge
My World Fell Down	Sagittarius
Don't Let The Rain Fall Down On Me	The Critters
Now I Know	Jack Jones
I Stand Accused (Of Loving You)	The Glories
Groovy Summertime	The Love Generation
Give Me Time	Dusty Springfield
I'll Do It For You	Toussaint McCall
Bluebird	Buffalo Springfield
To Love Somebody	Bee Gees
Mr. Pleasant	The Kinks
Out & About	Tommy Boyce & Bobby Hart
Washed Ashore (On A Lonely Island In The Sea)	The Platters
I'll Turn To Stone	Four Tops
Everybody Needs Love	Gladys Knight And The Pips
Gentle On My Mind	Glen Campbell
Thank The Lord For The Night Time	Neil Diamond
I Take What I Want	James & Bobby Purify
Omaha	Moby Grape
Funky Broadway Part I	Dyke And The Blazers
Blue's Theme	Davie Allan And The Arrows
What Am I Living For	Percy Sledge
Cold Sweat - Part 1	James Brown And The Famous Flames
I Could Be So Happy	The Magnificent Men
My Elusive Dreams	David Houston & Tammy Wynette
More And More	Andy Williams
Happy	The Blades Of Grass
Happy	The Sunshine Company
Apples, Peaches, Pumpkin Pie	Jay And The Techniques
Brown Eyed Girl	Van Morrison
A Thousand Shadows	The Seeds
