Blue Velvet	Bobby Vinton
Sally, Go 'round The Roses	The Jaynetts
Be My Baby	The Ronettes
Sugar Shack	Jimmy Gilmer And The Fireballs
Cry Baby	Garnet Mimms & The Enchanters
My Boyfriend's Back	The Angels
Wonderful! Wonderful!	The Tymes
Heat Wave	Martha & The Vandellas
Busted	Ray Charles and his Orchestra
Then He Kissed Me	The Crystals
Mickey's Monkey	The Miracles
A Walkin' Miracle	The Essex Featuring Anita Humes
Honolulu Lulu	Jan & Dean
Surfer Girl	The Beach Boys
If I Had A Hammer	Trini Lopez
Mean Woman Blues	Roy Orbison
Donna The Prima Donna	Dion (Di Muci)
Martian Hop	The Ran-Dells
Part Time Love	Little Johnny Taylor
Little Deuce Coupe	The Beach Boys
Don't Think Twice, It's All Right	Peter, Paul & Mary
The Monkey Time	Major Lance
I Can't Stay Mad At You	Skeeter Davis
Wham!	Lonnie Mack
Only In America	Jay & The Americans
Talk To Me	Sunny & The Sunglows
Bust Out	The Busters
That Sunday, That Summer	Nat King Cole
The Kind Of Boy You Can't Forget	The Raindrops
Painted, Tainted Rose	Al Martino
Hello Heartache, Goodbye Love	Little Peggy March
I'll Take You Home	The Drifters
Deep Purple	Nino Tempo & April Stevens
Fools Rush In	Rick Nelson
Hey, Girl	Freddie Scott
Two Tickets To Paradise	Brook Benton
You Can Never Stop Me Loving You	Johnny Tillotson
Washington Square	The Village Stompers
Mockingbird	Inez Foxx with Charlie Foxx
Birthday Party	The Pixies Three
Blue Bayou	Roy Orbison
More	Vic Dana
Treat My Baby Good	Bobby Darin
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Hey There Lonely Boy	Ruby And The Romantics
The Grass Is Greener	Brenda Lee
Frankie And Johnny	Sam Cooke
A Love So Fine	The Chiffons
Blowin' In The Wind	Peter, Paul & Mary
You Lost The Sweetest Boy	Mary Wells
Betty In Bermudas	The Dovells
Why Don't You Believe Me	The Duprees featuring Joey Vann
What Does A Girl Do?	The Shirelles
Maria Elena	Los Indios Tabajaras
Denise	Randy & The Rainbows
Cross Fire!	The Orlons
More	Kai Winding & Orchestra
It's All Right	The Impressions
She's A Fool	Lesley Gore
I'm Confessin' (That I Love You)	Frank Ifield
Cry To Me	Betty Harris
September Song	Jimmy Durante
Workout Stevie, Workout	Little Stevie Wonder
Surfer Joe	The Surfaris
Red Sails In The Sunset	Fats Domino
Monkey-Shine	Bill Black's Combo
He's Mine (I Love Him, I Love Him, I Love Him)	Alice Wonder Land
(Native Girl) Elephant Walk	Donald Jenkins & The Delighters
Misty	Lloyd Price
Enamorado	Keith Colley
This Is My Prayer	Theola Kilgore
Cindy's Gonna Cry	Johnny Crawford
Baby Get It (And Don't Quit It)	Jackie Wilson
Two Sides (To Every Story)	Etta James
Teenage Cleopatra	Tracey Dey
My Babe	The Righteous Brothers
Wipe Out	The Surfaris
Down The Aisle (Wedding Song)	Patti LaBelle And The Blue Belles
First Day Back At School	Paul and Paula
Walking The Dog	Rufus Thomas
Blue Guitar	Richard Chamberlain
(Down At) Papa Joe's	The Dixiebelles
Little Eeefin Annie	Joe Perkins
Strange Feeling	Billy Stewart
Night Life	Rusty Draper
Jenny Brown	The Smothers Brothers
Point Panic	The Surfaris
Everybody Go Home	Eydie Gorme
I'm Leaving It Up To You	Dale & Grace
Wild!	Dee Dee Sharp
Sweet Impossible You	Brenda Lee
Toys In The Attic	Jack Jones
Where Did The Good Times Go	Dick and DeeDee
New Mexican Rose	The 4 Seasons
Toys In The Attic	Joe Sherman, his Orchestra and Chorus
500 Miles Away From Home	Bobby Bare
That's How It Goes	George Maharis
Let's Make Love Tonight	Bobby Rydell
That's The Only Way	The 4 Seasons
Michael - Pt. 1	Steve Alaimo
