Strangers In The Night	Frank Sinatra
Paperback Writer	The Beatles
Red Rubber Ball	The Cyrkle
Paint It, Black	The Rolling Stones
You Don't Have To Say You Love Me	Dusty Springfield
Hanky Panky	Tommy James And The Shondells
Cool Jerk	The Capitols
I Am A Rock	Simon & Garfunkel
Did You Ever Have To Make Up Your Mind?	The Lovin' Spoonful
Barefootin'	Robert Parker
Little Girl	Syndicate Of Sound
Don't Bring Me Down	The Animals
Sweet Talkin' Guy	The Chiffons
Oh How Happy	Shades Of Blue
Ain't Too Proud To Beg	The Temptations
Dirty Water	The Standells
Double Shot (Of My Baby's Love)	Swingin' Medallions
Opus 17 (Don't You Worry 'Bout Me)	The 4 Seasons Featuring the "Sound of Frankie Valli"
Along Comes Mary	The Association
He	The Righteous Brothers
Girl In Love	The Outsiders
Hold On! I'm A Comin'	Sam & Dave
A Groovy Kind Of Love	The Mindbenders
Rain	The Beatles
The More I See You	Chris Montez
Popsicle	Jan & Dean
Crying	Jay & The Americans
Green Grass	Gary Lewis And The Playboys
When A Man Loves A Woman	Percy Sledge
(I Washed My Hands In) Muddy Water	Johnny Rivers
Lil' Red Riding Hood	Sam The Sham and the Pharaohs
Hey Joe	The Leaves
Please Tell Me Why	The Dave Clark Five
The Land Of Milk And Honey	The Vogues
Day For Decision	Johnny Sea
Let's Go Get Stoned	Ray Charles
Sweet Pea	Tommy Roe
Mama	B.J. Thomas
Oh Yeah	The Shadows Of Knight
I Love You 1000 Times	The Platters
You Better Run	The Young Rascals
The Pied Piper	Crispian St. Peters
Younger Girl	The Critters
Take This Heart Of Mine	Marvin Gaye
Loving You Is Sweeter Than Ever	Four Tops
Peter Rabbit	Dee Jay And The Runaways
Wild Thing	The Troggs
Somewhere, My Love	Ray Conniff And The Singers
Have I Stayed Too Long	Sonny & Cher
Hungry	Paul Revere & The Raiders Featuring Mark Lindsay
Happy Summer Days	Ronnie Dove
Younger Girl	The Hondells
I Saw Her Again	The Mamas & The Papas
Ninety-Nine And A Half (Won't Do)	Wilson Pickett
Solitary Man	Neil Diamond
My Little Red Book	Love
Love Letters	Elvis Presley
The Impossible Dream (The Quest)	Jack Jones
The Work Song	Herb Alpert & The Tijuana Brass
Where Were You When I Needed You	The Grass Roots
My Lover's Prayer	Otis Redding
Billy And Sue	B.J. Thomas And The Triumphs
I'll Love You Forever	The Holidays
Whole Lot Of Shakin' In My Heart (Since I Met You)	The Miracles
Neighbor, Neighbor	Jimmy Hughes
Over Under Sideways Down	The Yardbirds
Cloudy Summer Afternoon (Raindrops)	Barry McGuire
Searching For My Love	Bobby Moore & The Rhythm Aces
You Can't Roller Skate In A Buffalo Herd	Roger Miller
Not Responsible	Tom Jones
What Am I Going To Do Without Your Love	Martha & The Vandellas
Pretty Flamingo	Manfred Mann
I Love Onions	Susan Christie
When A Woman Loves A Man	Esther Phillips
I'm A Nut	Leroy Pullins
Sweet Dreams	Tommy McLain
You Wouldn't Listen	The Ides Of March
Trains And Boats And Planes	Dionne Warwick
Sunny	Bobby Hebb
Teenager's Prayer	Joe Simon
Grim Reaper Of Love	The Turtles
Lara's Theme from "Dr. Zhivago"	Roger Williams
I Only Have Eyes For You	The Lettermen
Past, Present And Future	The Shangri-Las
Misty	"Groove" Holmes
Stop! - Get A Ticket	Clefs Of Lavender Hill
Ain't Gonna Cry No More	Brenda Lee
It's An Uphill Climb To The Bottom	Walter Jackson
Can I Trust You?	The Bachelors
I Want You	Bob Dylan
It's That Time Of The Year	Len Barry
On The Good Ship Lollipop	The Wonder Who?
Painter	Lou Christie
La Bamba - Part I	Trini Lopez
High On Love	The Knickerbockers
Hot Shot	The Buena Vistas
Everybody Loves A Nut	Johnny Cash
Hey You! Little Boo-Ga-Loo	Chubby Checker
All These Things	The Uniques
Such A Sweet Thing	Mary Wells
