My Boo	Usher And Alicia Keys
Drop It Like It's Hot	Snoop Dogg Featuring Pharrell
Goodies	Ciara Featuring Petey Pablo
Lose My Breath	Destiny's Child
Over And Over	Nelly Featuring Tim McGraw
Just Lose It	Eminem
She Will Be Loved	Maroon 5
Breakaway	Kelly Clarkson
Lean Back	Terror Squad
Let's Go	Trick Daddy Featuring Lil Jon & Twista
Breathe	Fabolous
Oye Mi Canto	N.O.R.E. Featuring Daddy Yankee, Nina Sky, Gem Star & Big Mato
Wonderful	Ja Rule Featuring R. Kelly & Ashanti
My Happy Ending	Avril Lavigne
Go D.J.	Lil Wayne
Locked Up	Akon Featuring Styles P.
On The Way Down	Ryan Cabrera
Diary	Alicia Keys Featuring Tony! Toni! Tone!
Charlene	Anthony Hamilton
Balla Baby	Chingy
Let Me Love You	Mario
One Thing	Finger Eleven
1985	Bowling For Soup
1, 2 Step	Ciara Featuring Missy Elliott
Broken	Seether Featuring Amy Lee
If I Ain't Got You	Alicia Keys
Hush	LL Cool J Featuring 7 Aurelius
My Place	Nelly Featuring Jaheim
Heaven	Los Lonely Boys
Dare You To Move	Switchfoot
I Don't Want To Be	Gavin DeGraw
Vertigo	U2
Shorty Wanna Ride	Young Buck
The Reason	Hoobastank
Mr. Mom	Lonestar
Baby It's You	JoJo Featuring Bow Wow
Pieces Of Me	Ashlee Simpson
This Love	Maroon 5
Big Chips	R. Kelly & Jay-Z
In A Real Love	Phil Vassar
Nothing On But The Radio	Gary Allan
That's What It's All About	Brooks & Dunn
Sunshine	Lil' Flip Featuring Lea
The Woman With You	Kenny Chesney
Nolia Clap	Juvenile, Wacko & Skip
Tempted To Touch	Rupee
Back When	Tim McGraw
Let's Get It Started	The Black Eyed Peas
Yeah!	Usher Featuring Lil Jon & Ludacris
Dip It Low	Christina Milian
Stays In Mexico	Toby Keith
Headsprung	LL Cool J
Suds In The Bucket	Sara Evans
Breathe, Stretch, Shake	Mase Featuring P. Diddy
Some Beach	Blake Shelton
Daughters	John Mayer
Breaking The Habit	Linkin Park
What You Waiting For?	Gwen Stefani
No Problem	Lil Scrappy
Somebody Told Me	The Killers
I Hate Everything	George Strait
How Am I Doin'	Dierks Bentley
Dangerously In Love	Beyonce
Why?	Jadakiss Featuring Anthony Hamilton
Days Go By	Keith Urban
Welcome To My Life	Simple Plan
What U Gon' Do	Lil Jon & The East Side Boyz Featuring Lil Scrappy
American Idiot	Green Day
Getting Away With Murder	Papa Roach
Party For Two	Shania Twain With Billy Currington Or Mark McGrath
Fall To Pieces	Velvet Revolver
Awful, Beautiful Life	Darryl Worley
Take Me Home	Terror Squad
Used To Love U	John Legend
Nothin 'Bout Love Makes Sense	LeAnn Rimes
So Cold	Breaking Benjamin
Just Like You	Three Days Grace
Rough & Ready	Trace Adkins
White Tee's	Dem Franchize Boyz
Knuck If You Buck	Crime Mob Featuring Lil Scrappy
I Smoke, I Drank	Body Head Bangerz Featuring YoungBloodz
Real Big	Mannie Fresh
King Of The Dancehall	Beenie Man
Cold	Crossfade
Shadow	Ashlee Simpson
White Houses	Vanessa Carlton
Hot 2Nite	New Edition
If Nobody Believed In You	Joe Nichols
(Reach Up For The) Sunrise	Duran Duran
Here For The Party	Gretchen Wilson
She Thinks She Needs Me	Andy Griggs
So Sexy Chapter II (Like This)	Twista Featuring R. Kelly
Westside Story	The Game Featuring 50 Cent
Call My Name	Prince
Flap Your Wings	Nelly
Gasolina	Daddy Yankee
You're My Everything	Anita Baker
Nasty Girl	Nitty
U Saved Me	R. Kelly
Feels Like Today	Rascal Flatts
