Baby Boy	Beyonce Featuring Sean Paul
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Right Thurr	Chingy
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Frontin'	Pharrell Featuring Jay-Z
Into You	Fabolous Featuring Tamia Or Ashanti
P.I.M.P.	50 Cent
Where Is The Love?	The Black Eyed Peas
Damn!	YoungBloodZ Featuring Lil Jon
Unwell	matchbox twenty
Crazy In Love	Beyonce Featuring Jay Z
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Thoia Thoing	R. Kelly
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
Stand Up	Ludacris Featuring Shawnna
Can't Stop, Won't Stop	Young Gunz
Here Without You	3 Doors Down
My Love Is Like... Wo	Mya
The Remedy (I Won't Worry)	Jason Mraz
Rain On Me	Ashanti
Drift Away	Uncle Kracker Featuring Dobie Gray
What Was I Thinkin'	Dierks Bentley
The Boys Of Summer	The Ataris
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
Suga Suga	Baby Bash Featuring Frankie J
Calling All Angels	Train
Real Good Man	Tim McGraw
Let's Get Down	Bow Wow Featuring Baby
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Harder To Breathe	Maroon 5
Holidae In	Chingy Featuring Ludacris & Snoop Dogg
Forever And For Always	Shania Twain
So Far Away	Staind
Come Over	Aaliyah
Bring Me To Life	Evanescence Featuring Paul McCoy
Never Leave You - Uh Ooh, Uh Oooh!	Lumidee
Walked Outta Heaven	Jagged Edge
Are You Happy Now?	Michelle Branch
Senorita	Justin Timberlake
Step In The Name Of Love	R. Kelly
Ooh!	Mary J. Blige
Headstrong	Trapt
Bigger Than My Body	John Mayer
Dance With My Father	Luther Vandross
Tough Little Boys	Gary Allan
This One's For The Girls	Martina McBride
Who Wouldn't Wanna Be Me	Keith Urban
No Shoes, No Shirt, No Problems	Kenny Chesney
I Love This Bar	Toby Keith
Magic Stick	Lil' Kim Featuring 50 Cent
I Melt	Rascal Flatts
Clubbin	Marques Houston Featuring Joe Budden & Pied Piper
In Those Jeans	Ginuwine
Someday	Nickelback
A Few Questions	Clay Walker
Faint	Linkin Park
So Yesterday	Hilary Duff
Got Some Teeth	Obie Trice
Red Dirt Road	Brooks & Dunn
Low	Kelly Clarkson
Like Glue	Sean Paul
Wave On Wave	Pat Green
The Way You Move	OutKast Featuring Sleepy Brown
Bright Lights	matchbox twenty
White Flag	Dido
Heaven	Live
Why Can't I?	Liz Phair
Signs Of Love Makin'	Tyrese
Show Me How To Live	Audioslave
Girls And Boys	Good Charlotte
Read Your Mind	Avant
Celebrity	Brad Paisley
(There's Gotta Be) More To Life	Stacie Orrico
Addicted	Simple Plan
Weak And Powerless	A Perfect Circle
Cowboys Like Us	George Strait
If I Can't	50 Cent
Where The Hood At	DMX
Walk A Little Straighter	Billy Currington
24's	T.I.
Seven Nation Army	The White Stripes
Lovin' All Night	Patty Loveless
Knock Knock	Monica
Amazing	Josh Kelley
Officially Missing You	Tamia
Hole In The World	Eagles
I Want You	Thalia Featuring Fat Joe
Light Your A** On Fire	Busta Rhymes
Did My Time	Korn
Pon De River, Pon De Bank	Elephant Man
Danger	Erykah Badu
Then They Do	Trace Adkins
Naggin	Ying Yang Twins
Honesty (Write Me A List)	Rodney Atkins
Milkshake	Kelis
Find A Way	Dwele
Sympathy For The Devil (Remixes)	The Rolling Stones
This Is The Night	Clay Aiken
Rest In Pieces	Saliva
Rubberneckin'	Elvis Presley
