Butter	BTS
Good 4 U	Olivia Rodrigo
Levitating	Dua Lipa Featuring DaBaby
Peaches	Justin Bieber Featuring Daniel Caesar & Giveon
Leave The Door Open	Silk Sonic (Bruno Mars & Anderson .Paak)
Save Your Tears	The Weeknd & Ariana Grande
Kiss Me More	Doja Cat Featuring SZA
Astronaut In The Ocean	Masked Wolf
Deja Vu	Olivia Rodrigo
Yonaguni	Bad Bunny
Montero (Call Me By Your Name)	Lil Nas X
Without You	The Kid LAROI
Forever After All	Luke Combs
Rapstar	Polo G
Blinding Lights	The Weeknd
Hats Off	Lil Baby, Lil Durk & Travis Scott
Drivers License	Olivia Rodrigo
Beautiful Mistakes	Maroon 5 Featuring Megan Thee Stallion
Traitor	Olivia Rodrigo
Late At Night	Roddy Ricch
Voice Of The Heroes	Lil Baby & Lil Durk
Best Friend	Saweetie Featuring Doja Cat
Heartbreak Anniversary	Giveon
Heat Waves	Glass Animals
Calling My Phone	Lil Tjay Featuring 6LACK
Favorite Crime	Olivia Rodrigo
Lost Cause	Billie Eilish
Happier	Olivia Rodrigo
Up	Cardi B
Mood	24kGoldn Featuring iann dior
2040	Lil Baby & Lil Durk
Every Chance I Get	DJ Khaled Featuring Lil Baby & Lil Durk
Telepatia	Kali Uchis
How It Feels	Lil Baby & Lil Durk
Brutal	Olivia Rodrigo
Wockesha	Moneybagg Yo
Wants And Needs	Drake Featuring Lil Baby
Famous Friends	Chris Young + Kane Brown
pov	Ariana Grande
Gone	Dierks Bentley
Beat Box	SpotemGottem Featuring Pooh Shiesty Or DaBaby
My Ex's Best Friend	Machine Gun Kelly X blackbear
Still Runnin	Lil Baby, Lil Durk & Meek Mill
Track Star	Mooski
What You Know Bout Love	Pop Smoke
Who I Want	Lil Baby & Lil Durk
my.life	J. Cole, 21 Savage & Morray
Back In Blood	Pooh Shiesty Featuring Lil Durk
Time Today	Moneybagg Yo
Lil Bit	Nelly & Florida Georgia Line
Blame It On You	Jason Aldean
Nobody	Dylan Scott
Todo de Ti	Rauw Alejandro
Enough For You	Olivia Rodrigo
Settling Down	Miranda Lambert
Still Hood	Lil Baby & Lil Durk
Jealousy, Jealousy	Olivia Rodrigo
Okay	Lil Baby & Lil Durk
Almost Maybes	Jordan Davis
Man Of My Word	Lil Baby & Lil Durk
Build A Bitch	Bella Poarch
Breaking Up Was Easy In The 90's	Sam Hunt
Glad You Exist	Dan + Shay
pride.is.the.devil	J. Cole & Lil Baby
1 Step Forward, 3 Steps Back	Olivia Rodrigo
Ski	Young Thug & Gunna
Medical	Lil Baby & Lil Durk
Rich Off Pain	Lil Baby, Lil Durk & Rod Wave
Leave Before You Love Me	Marshmello X Jonas Brothers
Lying	Lil Baby & Lil Durk
Snowflakes	Tom MacDonald
Single Saturday Night	Cole Swindell
That's Facts	Lil Baby & Lil Durk
Made For You	Jake Owen
Your Power	Billie Eilish
No More Parties	Coi Leray Featuring Lil Durk
We're Good	Dua Lipa
One Too Many	Keith Urban Duet With P!nk
Please	Lil Baby & Lil Durk
Up The Side	Lil Baby, Lil Durk & Young Thug
Minimum Wage	Blake Shelton
Miss The Rage	Trippie Redd & Playboi Carti
Way Less Sad	AJR
Hope Ur OK	Olivia Rodrigo
Quicksand	Morray
Arcade	Duncan Laurence
Straightenin	Migos
Gang Gang	Polo G & Lil Wayne
Drinkin' Beer. Talkin' God. Amen.	Chase Rice Featuring Florida Georgia Line
Follow You	Imagine Dragons
Chasing After You	Ryan Hurd With Maren Morris
Tell Em	Cochise & $NOT
4 Da Gang	42 Dugg & Roddy Ricch
Tombstone	Rod Wave
What's Next	Drake
Things A Man Oughta Know	Lainey Wilson
Country Again	Thomas Rhett
Drunk (And I Don't Wanna Go Home)	Elle King & Miranda Lambert
If You Want To	Lil Baby & Lil Durk
Seeing Green	Nicki Minaj, Drake & Lil Wayne
