Red Red Wine	UB40
Love Bites	Def Leppard
Groovy Kind Of Love	Phil Collins
Don't Be Cruel	Cheap Trick
What's On Your Mind (Pure Energy)	Information Society
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Don't You Know What The Night Can Do?	Steve Winwood
Don't Be Cruel	Bobby Brown
Wild, Wild West	The Escape Club
I Hate Myself For Loving You	Joan Jett & the Blackhearts
One Good Woman	Peter Cetera
Forever Young	Rod Stewart
True Love	Glenn Frey
Never Tear Us Apart	INXS
I'll Always Love You	Taylor Dayne
Kokomo (From"Cocktail" )	The Beach Boys
The Loco-Motion	Kylie Minogue
One Moment In Time	Whitney Houston
Please Don't Go Girl	New Kids On The Block
Chains Of Love	Erasure
Fallen Angel	Poison
Bad Medicine	Bon Jovi
If It Isn't Love	New Edition
Sweet Child O' Mine	Guns N' Roses
Desire	U2
Another Lover	Giant Steps
Don't Know What You Got (Till It's Gone)	Cinderella
How Can I Fall?	Breathe
Time And Tide	Basia
Simply Irresistible	Robert Palmer
What You See Is What You Get	Brenda K. Starr
Baby, I Love Your Way/Freebird Medley	Will To Power
Dance Little Sister	Terence Trent D'Arby
Kissing A Fool	George Michael
Look Away	Chicago
Superstitious	Europe
A Word In Spanish	Elton John
It Takes Two	Rob Base & D.J. E-Z Rock
Waiting For A Star To Fall	Boy Meets Girl
A Nightmare On My Street	D.J. Jazzy Jeff & The Fresh Prince
The Promise	When In Rome
Nobody's Fool (Theme From "Caddyshack II")	Kenny Loggins
Giving You The Best That I Got	Anita Baker
It Would Take A Strong Strong Man	Rick Astley
Walk On Water	Eddie Money
You Came	Kim Wilde
Indestructible	Four Tops
She's On The Left	Jeffrey Osborne
I Don't Want Your Love	Duran Duran
Downtown Life	Daryl Hall John Oates
When It's Love	Van Halen
Staying Together	Debbie Gibson
Strangelove	Depeche Mode
Small World	Huey Lewis & The News
Edge Of A Broken Heart	Vixen
Perfect World	Huey Lewis & The News
Finish What Ya Started	Van Halen
Domino Dancing	Pet Shop Boys
Heart Don't Fail Me Now	Holly Knight
Cars With The Boom	L'Trimm
Way Out	J.J. Fad
Spring Love (Come Back To Me)	Stevie B
Never Let You Go	Sweet Sensation
Boy, I've Been Told	SaFire
Symptoms Of True Love	Tracie Spencer
Spy In The House Of Love	Was (Not Was)
Here With Me	REO Speedwagon
I Don't Wanna Live Without Your Love	Chicago
Not Just Another Girl	Ivan Neville
Any Love	Luther Vandross
Monkey	George Michael
I Can't Wait	Deniece Williams
In Your Room	The Bangles
Hands To Heaven	Breathe
Talkin' Bout A Revolution	Tracy Chapman
Fast Car	Tracy Chapman
I Did It For Love	Night Ranger
Off On Your Own (Girl)	Al B. Sure!
I'm Not Your Man	Tommy Conwell And The Young Rumblers
Didn't Know It Was Love	Survivor
Don't Be Afraid Of The Dark	The Robert Cray Band
What's The Matter Here?	10,000 Maniacs
The Way You Love Me	Karyn White
Jealous Guy	John Lennon & The Plastic Ono Band
All Fired Up	Pat Benatar
Yeah, Yeah, Yeah	Judson Spence
Reason To Try	Eric Carmen
I Don't Wanna Go On With You Like That	Elton John
Long And Lasting Love (Once In A Lifetime)	Glenn Medeiros
Tell That Girl To Shut Up	Transvision Vamp
Live It Up	Gardner Cole
Peek-A-Boo	Siouxsie & The Banshees
Sign Your Name	Terence Trent D'Arby
Don't Break My Heart	Romeo's Daughter
Put This Love To The Test	Jon Astley
Another Part Of Me	Michael Jackson
Louie, Louie	Fat Boys
Inside A Dream	Jane Wiedlin
Inside Outside	The Cover Girls
Love Will Save The Day	Whitney Houston
