I Want You Back	Jackson 5
Venus	The Shocking Blue
Raindrops Keep Fallin' On My Head	B.J. Thomas
Whole Lotta Love	Led Zeppelin
Without Love (There Is Nothing)	Tom Jones
Don't Cry Daddy/Rubberneckin'	Elvis Presley
I'll Never Fall In Love Again	Dionne Warwick
Thank You Falettinme Be Mice Elf Agin/Everybody Is A Star	Sly & The Family Stone
Someday We'll Be Together	Diana Ross & The Supremes
Leaving On A Jet Plane	Peter, Paul & Mary
Jingle Jangle	The Archies
Early In The Morning	Vanity Fare
Hey There Lonely Girl	Eddie Holman
Arizona	Mark Lindsay
Jam Up Jelly Tight	Tommy Roe
Winter World Of Love	Engelbert Humperdinck
No Time	The Guess Who
Midnight Cowboy	Ferrante & Teicher
Walk A Mile In My Shoes	Joe South and The Believers
Walkin' In The Rain	Jay & The Americans
Psychedelic Shack	The Temptations
Blowing Away	The 5th Dimension
La La La (If I Had You)	Bobby Sherman
Na Na Hey Hey Kiss Him Goodbye	Steam
Baby Take Me In Your Arms	Jefferson
Wonderful World, Beautiful People	Jimmy Cliff
Holly Holy	Neil Diamond
Down On The Corner/Fortunate Son	Creedence Clearwater Revival
Come Together/Something	The Beatles
Honey Come Back	Glen Campbell
She Came In Through The Bathroom Window	Joe Cocker
The Thrill Is Gone	B.B. King
She	Tommy James And The Shondells
Rainy Night In Georgia/Rubberneckin'	Brook Benton
Evil Woman Don't Play Your Games With Me	CROW
Let's Work Together (Part 1)	Wilbert Harrison
She Belongs To Me	Rick Nelson
Ain't It Funky Now (Part 1)	James Brown
Fancy	Bobbie Gentry
Let A Man Come In And Do The Popcorn (Part Two)	James Brown
When Julie Comes Around	The Cuff Links
How Can I Forget/Gonna Give Her All The Love I've Got	Marvin Gaye
Monster	Steppenwolf
Cupid	Johnny Nash
Didn't I (Blow Your Mind This Time)	The Delfonics
Cold Turkey	Plastic Ono Band
Traces/Memories Medley	The Lettermen
One Tin Soldier	The Original Caste
Love Bones	Johnnie Taylor
Travelin' Band/Who'll Stop The Rain	Creedence Clearwater Revival
Tonight I'll Say A Prayer	Eydie Gorme
Oh Me Oh My (I'm A Fool For You Baby)	Lulu
Hold On	The Rascals
Breaking Up Is Hard To Do	Lenny Welch
Point It Out	Smokey Robinson & The Miracles
Look-Ka Py Py	The Meters
He Ain't Heavy, He's My Brother	The Hollies
Up On Cripple Creek	The Band
Bold Soul Sister	Ike & Tina Turner
Give Me Just A Little More Time	Chairman Of The Board
Evil Ways	Santana
Moon Walk Part 1	Joe Simon
The Touch Of You	Brenda & The Tabulations
My Honey And Me	Luther Ingram
I'm Just A Prisoner (Of Your Good Lovin')	Candi Staton
Jennifer Tomkins	Street People
If I Were A Carpenter	Johnny Cash & June Carter
Okie From Muskogee	Merle Haggard And The Strangers
Won't Find Better (Than Me)	The New Hope
I'm So Glad I Fell For You	David Ruffin
Ma Belle Amie	The Tee Set
Got To See If I Can't Get Mommy (To Come Back Home)	Jerry Butler
Always Something There To Remind Me	R.B. Greaves
How Can I Tell My Mom & Dad	The Lovelites
If Walls Could Talk	Little Milton
Hello It's Me	Nazz
Oh What A Day	The Dells
Barbara, I Love You	New Colony Six
The Rapper	The Jaggerz
I've Gotta Make You Love Me	Steam
Oh Well - Pt. I	Fleetwood Mac
New World Coming	Mama Cass Elliot
Down In The Alley	Ronnie Hawkins
Mornin Mornin	Bobby Goldsboro
Compared To What	Les McCann & Eddie Harris
Country Preacher	Cannonball Adderley
You Got Me Hummin	Cold Blood
Shades Of Green	The Flaming Ember
Come Saturday Morning	The Sandpipers
It's Just A Matter Of Time	Sonny James
If I Never Knew Your Name	Vic Dana
Je T'Aime...Moi Non Plus	Jane Birkin Serge Gainsbourg
Welfare Cadilac	Guy Drake
The Ghetto-Part 1	Donny Hathaway
Then She's A Lover	Roy Clark
The Court Of The Crimson King - Part 1	King Crimson
Victoria	The Kinks
Save The Country	Thelma Houston
Superstar	Murray Head With The Trinidad Singers
I'll See Him Through	Tammy Wynette
