Look Away	Chicago
Baby, I Love Your Way/Freebird Medley	Will To Power
How Can I Fall?	Breathe
I Don't Want Your Love	Duran Duran
Giving You The Best That I Got	Anita Baker
Every Rose Has Its Thorn	Poison
Waiting For A Star To Fall	Boy Meets Girl
My Prerogative	Bobby Brown
Welcome To The Jungle	Guns N' Roses
Walk On Water	Eddie Money
The Promise	When In Rome
Desire	U2
Finish What Ya Started	Van Halen
In Your Room	The Bangles
Bad Medicine	Bon Jovi
Kissing A Fool	George Michael
Two Hearts	Phil Collins
Spy In The House Of Love	Was (Not Was)
Wild, Wild West	The Escape Club
Early In The Morning	Robert Palmer
Don't Rush Me	Taylor Dayne
I Remember Holding You	Boys Club
Kokomo (From"Cocktail" )	The Beach Boys
Silhouette	Kenny G
Smooth Criminal	Michael Jackson
Not Just Another Girl	Ivan Neville
Domino Dancing	Pet Shop Boys
Armageddon It	Def Leppard
Put A Little Love In Your Heart	Annie Lennox & Al Green
The Loco-Motion	Kylie Minogue
The Way You Love Me	Karyn White
Yeah, Yeah, Yeah	Judson Spence
Don't Know What You Got (Till It's Gone)	Cinderella
All This Time	Tiffany
Till I Loved You	Barbra Streisand & Don Johnson
Groovy Kind Of Love	Phil Collins
Wild World	Maxi Priest
Little Liar	Joan Jett & the Blackhearts
Thanks For My Child	Cheryl Pepsii Riley
Holding On	Steve Winwood
When The Children Cry	White Lion
Ghost Town	Cheap Trick
Symptoms Of True Love	Tracie Spencer
Born To Be My Baby	Bon Jovi
Handle With Care	Traveling Wilburys
I Wanna Have Some Fun	Samantha Fox
Hippy Hippy Shake (From "Cocktail")	The Georgia Satellites
Small World	Huey Lewis & The News
Another Lover	Giant Steps
When I'm With You	Sheriff
Back On Holiday	Robbie Nevil
The Lover In Me	Sheena Easton
Peek-A-Boo	Siouxsie & The Banshees
One Moment In Time	Whitney Houston
Baby Can I Hold You	Tracy Chapman
Edge Of A Broken Heart	Vixen
Walking Away	Information Society
Girls Ain't Nothing But Trouble	D.J. Jazzy Jeff & The Fresh Prince
Straight Up	Paula Abdul
It's Money That Matters	Randy Newman
You Got It (The Right Stuff)	New Kids On The Block
Never Tear Us Apart	INXS
Nobody's Perfect	Mike + The Mechanics
Red Red Wine	UB40
Kiss	The Art Of Noise Featuring Tom Jones
Best Of Times	Peter Cetera
Forever Young	Alphaville
Forever Young	Rod Stewart
Boy, I've Been Told	SaFire
What's On Your Mind (Pure Energy)	Information Society
Any Love	Luther Vandross
Cross My Heart	Eighth Wonder
What I Am	Edie Brickell & New Bohemians
As Long As You Follow	Fleetwood Mac
Don't Be Cruel	Bobby Brown
Love Bites	Def Leppard
Wild Thing	Tone-Loc
Dial My Heart	The Boys
Don't Worry, Be Happy (From "Cocktail")	Bobby McFerrin
Cars With The Boom	L'Trimm
Shake For The Sheik	The Escape Club
Killing Me Softly	Al B. Sure!
I'll Always Love You	Taylor Dayne
A Little Respect	Erasure
Please Don't Go Girl	New Kids On The Block
New Day For You	Basia
Don't You Know What The Night Can Do?	Steve Winwood
I Hate Myself For Loving You	Joan Jett & the Blackhearts
Rock & Roll Strategy	Thirty Eight Special
It's No Secret	Kylie Minogue
A Word In Spanish	Elton John
My Heart Can't Tell You No	Rod Stewart
Didn't Know It Was Love	Survivor
Anchorage	Michelle Shocked
(It's Just) The Way That You Love Me	Paula Abdul
Love, Truth & Honesty	Bananarama
Is It Love	J.J. Fad
Chains Of Love	Erasure
I'm Gonna Miss You	Kenny Loggins
The Only Way Is Up	Yazz And The Plastic Population
