Cheerleader	OMI
Can't Feel My Face	The Weeknd
Watch Me	Silento
Lean On	Major Lazer & DJ Snake Featuring MO
The Hills	The Weeknd
Fight Song	Rachel Platten
Trap Queen	Fetty Wap
My Way	Fetty Wap Featuring Monty
Bad Blood	Taylor Swift Featuring Kendrick Lamar
Good For You	Selena Gomez Featuring A$AP Rocky
See You Again	Wiz Khalifa Featuring Charlie Puth
Where Are U Now	Skrillex & Diplo With Justin Bieber
679	Fetty Wap Featuring Remy Boyz
Shut Up And Dance	WALK THE MOON
Photograph	Ed Sheeran
Cool For The Summer	Demi Lovato
Uptown Funk!	Mark Ronson Featuring Bruno Mars
Worth It	Fifth Harmony Featuring Kid Ink
Honey, I'm Good.	Andy Grammer
Want To Want Me	Jason Derulo
Post To Be	Omarion Featuring Chris Brown & Jhene Aiko
Hey Mama	David Guetta Featuring Nicki Minaj, Bebe Rexha & Afrojack
Classic Man	Jidenna Featuring Roman GianArthur
Uma Thurman	Fall Out Boy
Locked Away	R. City Featuring Adam Levine
Drag Me Down	One Direction
Sugar	Maroon 5
House Party	Sam Hunt
Flex (Ooh Ooh Ooh)	Rich Homie Quan
Marvin Gaye	Charlie Puth Featuring Meghan Trainor
Thinking Out Loud	Ed Sheeran
Back To Back	Drake
Again	Fetty Wap
Earned It (Fifty Shades Of Grey)	The Weeknd
Stitches	Shawn Mendes
B**** Better Have My Money	Rihanna
Kick The Dust Up	Luke Bryan
Love Me Like You Do	Ellie Goulding
Crash And Burn	Thomas Rhett
Loving You Easy	Zac Brown Band
She's Kinda Hot	5 Seconds Of Summer
All Eyes On You	Meek Mill Featuring Chris Brown & Nicki Minaj
You Know You Like It	DJ Snake & AlunaGeorge
Talking Body	Tove Lo
Renegades	X Ambassadors
Nasty Freestyle	T-Wayne
Buy Me A Boat	Chris Janson
Rotten To The Core	Dove Cameron, Cameron Boyce, Booboo Stewart & Sofia Carson
John Cougar, John Deere, John 3:16	Keith Urban
I Don't Like It, I Love It	Flo Rida Featuring Robin Thicke & Verdine White
High By The Beach	Lana Del Rey
Planez	Jeremih Featuring J. Cole
Like A Wrecking Ball	Eric Church
This Could Be Us	Rae Sremmurd
Young & Crazy	Frankie Ballard
Hell Of A Night	Dustin Lynch
Hotline Bling	Drake
Kiss You In The Morning	Michael Ray
Be Real	Kid Ink Featuring DeJ Loaf
How Deep Is Your Love	Calvin Harris & Disciples
Lose My Mind	Brett Eldredge
Like I'm Gonna Lose You	Meghan Trainor Featuring John Legend
Strip It Down	Luke Bryan
Should've Been Us	Tori Kelly
Burning House	Cam
Cheyenne	Jason Derulo
Fly	Maddie & Tae
R.I.C.O.	Meek Mill Featuring Drake
Save It For A Rainy Day	Kenny Chesney
Beautiful Now	Zedd Featuring Jon Bellion
Ex's & Oh's	Elle King
Sangria	Blake Shelton
El Perdon (Forgiveness)	Nicky Jam & Enrique Iglesias
Fun	Pitbull Featuring Chris Brown
Ghost Town	Adam Lambert
One Hell Of An Amen	Brantley Gilbert
Anything Goes	Florida Georgia Line
Do It Again	Pia Mia Featuring Chris Brown & Tyga
Tonight Looks Good On You	Jason Aldean
Break Up With Him	Old Dominion
I'm Comin' Over	Chris Young
Comfortable	K Camp
The Night Is Still Young	Nicki Minaj
Real Life	Jake Owen
Here	Alessia Cara
Wet Dreamz	J. Cole
Where Ya At	Future Featuring Drake
Omen	Disclosure Featuring Sam Smith
Alright	Kendrick Lamar
100	The Game Featuring Drake
How Many Times	DJ Khaled Featuring Chris Brown, Lil Wayne & Big Sean
One Man Can Change The World	Big Sean Featuring Kanye West & John Legend
Let Me See Ya Girl	Cole Swindell
If Only	Dove Cameron
Commas	Future
Love Myself	Hailee Steinfeld
Nothin' Like You	Dan + Shay
Gonna Wanna Tonight	Chase Rice
Black Magic	Little Mix
100 Grandkids	Mac Miller
