Baby Boy	Beyonce Featuring Sean Paul
Shake Ya Tailfeather	Nelly, P. Diddy & Murphy Lee
Get Low	Lil Jon & The East Side Boyz Featuring Ying Yang Twins
Right Thurr	Chingy
Damn!	YoungBloodZ Featuring Lil Jon
Stand Up	Ludacris Featuring Shawnna
Frontin'	Pharrell Featuring Jay-Z
Here Without You	3 Doors Down
Into You	Fabolous Featuring Tamia Or Ashanti
P.I.M.P.	50 Cent
Why Don't You & I	Santana Featuring Alex Band Or Chad Kroeger
Where Is The Love?	The Black Eyed Peas
Rain On Me	Ashanti
Can't Stop, Won't Stop	Young Gunz
Unwell	matchbox twenty
Can't Hold Us Down	Christina Aguilera Featuring Lil' Kim
Thoia Thoing	R. Kelly
Holidae In	Chingy Featuring Ludacris & Snoop Dogg
Crazy In Love	Beyonce Featuring Jay Z
Suga Suga	Baby Bash Featuring Frankie J
My Love Is Like... Wo	Mya
Step In The Name Of Love	R. Kelly
Harder To Breathe	Maroon 5
The Remedy (I Won't Worry)	Jason Mraz
The Way You Move	OutKast Featuring Sleepy Brown
Drift Away	Uncle Kracker Featuring Dobie Gray
Calling All Angels	Train
Walked Outta Heaven	Jagged Edge
Ooh!	Mary J. Blige
Headstrong	Trapt
So Far Away	Staind
Tough Little Boys	Gary Allan
Bigger Than My Body	John Mayer
Someday	Nickelback
What Was I Thinkin'	Dierks Bentley
Real Good Man	Tim McGraw
Forever And For Always	Shania Twain
Stacy's Mom	Fountains Of Wayne
It's Five O'Clock Somewhere	Alan Jackson & Jimmy Buffett
This One's For The Girls	Martina McBride
The Boys Of Summer	The Ataris
Bring Me To Life	Evanescence Featuring Paul McCoy
Who Wouldn't Wanna Be Me	Keith Urban
Come Over	Aaliyah
I Love This Bar	Toby Keith
Dance With My Father	Luther Vandross
So Yesterday	Hilary Duff
Pass That Dutch	Missy Elliott
I Melt	Rascal Flatts
Bright Lights	matchbox twenty
Clubbin	Marques Houston Featuring Joe Budden & Pied Piper
Help Pour Out The Rain (Lacey's Song)	Buddy Jewell
Why Can't I?	Liz Phair
Got Some Teeth	Obie Trice
Faint	Linkin Park
(There's Gotta Be) More To Life	Stacie Orrico
Hey Ya!	OutKast
Senorita	Justin Timberlake
Heaven	Live
Read Your Mind	Avant
White Flag	Dido
Wave On Wave	Pat Green
Low	Kelly Clarkson
Weak And Powerless	A Perfect Circle
Let's Get Down	Bow Wow Featuring Baby
Cowboys Like Us	George Strait
Wat Da Hook Gon Be	Murphy Lee Featuring Jermaine Dupri
Walk A Little Straighter	Billy Currington
Show Me How To Live	Audioslave
In Those Jeans	Ginuwine
Trouble	P!nk
I Can Only Imagine	MercyMe
No Shoes, No Shirt, No Problems	Kenny Chesney
A Few Questions	Clay Walker
Runnin (Dying To Live)	Tupac Featuring The Notorious B.I.G.
If I Can't	50 Cent
Addicted	Simple Plan
24's	T.I.
Amazing	Josh Kelley
Milkshake	Kelis
Knock Knock	Monica
Danger	Erykah Badu
Signs Of Love Makin'	Tyrese
Like Glue	Sean Paul
Celebrity	Brad Paisley
Pon De River, Pon De Bank	Elephant Man
Naggin	Ying Yang Twins
Lovin' All Night	Patty Loveless
Hot & Wet	112 Featuring Ludacris
Party To Damascus	Wyclef Jean Featuring Missy Elliott
Hole In The World	Eagles
Officially Missing You	Tamia
Honesty (Write Me A List)	Rodney Atkins
Roc Ya Body "Mic Check 1,2"	M.V.P. (Most Valuable Playas) Featuring Stagga Lee
Another Postcard (Chimps)	Barenaked Ladies
I Want You	Thalia Featuring Fat Joe
Girls And Boys	Good Charlotte
Waiting For You	Seal
Find A Way	Dwele
Crazy	Javier
