Blue Velvet	Bobby Vinton
My Boyfriend's Back	The Angels
If I Had A Hammer	Trini Lopez
Heat Wave	Martha & The Vandellas
Sally, Go 'round The Roses	The Jaynetts
Then He Kissed Me	The Crystals
Surfer Girl	The Beach Boys
Mickey's Monkey	The Miracles
Hello Mudduh, Hello Fadduh! (A Letter From Camp)	Allan Sherman
Cry Baby	Garnet Mimms & The Enchanters
Wonderful! Wonderful!	The Tymes
Be My Baby	The Ronettes
The Monkey Time	Major Lance
A Walkin' Miracle	The Essex Featuring Anita Humes
Painted, Tainted Rose	Al Martino
Hey, Girl	Freddie Scott
Mockingbird	Inez Foxx with Charlie Foxx
You Can Never Stop Me Loving You	Johnny Tillotson
Martian Hop	The Ran-Dells
Frankie And Johnny	Sam Cooke
The Kind Of Boy You Can't Forget	The Raindrops
Little Deuce Coupe	The Beach Boys
Busted	Ray Charles and his Orchestra
Candy Girl	The 4 Seasons
Denise	Randy & The Rainbows
Part Time Love	Little Johnny Taylor
Honolulu Lulu	Jan & Dean
Blowin' In The Wind	Peter, Paul & Mary
Hey There Lonely Boy	Ruby And The Romantics
I Want To Stay Here	Steve & Eydie
Please Don't Talk To The Lifeguard	Diane Ray
Wham!	Lonnie Mack
Fingertips - Pt 2	Little Stevie Wonder
More	Kai Winding & Orchestra
Only In America	Jay & The Americans
Danke Schoen	Wayne Newton And The Newton Brothers
Why Don't You Believe Me	The Duprees featuring Joey Vann
Make The World Go Away	Timi Yuro
Desert Pete	The Kingston Trio
I Can't Stay Mad At You	Skeeter Davis
Bust Out	The Busters
The Lonely Surfer	Jack Nitzsche
Straighten Up Your Heart	Barbara Lewis
Birthday Party	The Pixies Three
More	Vic Dana
Treat My Baby Good	Bobby Darin
Que Sera, Sera (Whatever Will Be, Will Be)	The High Keyes
Hello Heartache, Goodbye Love	Little Peggy March
Wait Til' My Bobby Gets Home	Darlene Love
Mean Woman Blues	Roy Orbison
Don't Think Twice, It's All Right	Peter, Paul & Mary
Donna The Prima Donna	Dion (Di Muci)
That Sunday, That Summer	Nat King Cole
It's Too Late	Wilson Pickett
I'll Take You Home	The Drifters
Two Tickets To Paradise	Brook Benton
Talk To Me	Sunny & The Sunglows
China Nights (Shina No Yoru)	Kyu Sakamoto
What Does A Girl Do?	The Shirelles
Betty In Bermudas	The Dovells
8 X 10	Bill Anderson
Drownin' My Sorrows	Connie Francis
Wipe Out	The Surfaris
Fools Rush In	Rick Nelson
Sugar Shack	Jimmy Gilmer And The Fireballs
Lucky Lips	Cliff Richard
Surfer Joe	The Surfaris
(I Cried at) Laura's Wedding	Barbara Lynn
Abilene	George Hamilton IV
Blue Bayou	Roy Orbison
Leave Me Alone	Baby Washington
This Is My Prayer	Theola Kilgore
Tell Me The Truth	Nancy Wilson
Deep Purple	Nino Tempo & April Stevens
A Love So Fine	The Chiffons
(Native Girl) Elephant Walk	Donald Jenkins & The Delighters
He's Mine (I Love Him, I Love Him, I Love Him)	Alice Wonder Land
I'm Confessin' (That I Love You)	Frank Ifield
September Song	Jimmy Durante
Teenage Cleopatra	Tracey Dey
Enamorado	Keith Colley
Red Sails In The Sunset	Fats Domino
It's A Lonely Town (Lonely Without You)	Gene McDaniels
Sooner Or Later	Johnny Mathis
Chinese Checkers	Booker T. & The MG's
Man's Temptation	Gene Chandler
My Babe	The Righteous Brothers
Cindy's Gonna Cry	Johnny Crawford
Something Old, Something New	Paul and Paula
Baby Get It (And Don't Quit It)	Jackie Wilson
Down The Aisle (Wedding Song)	Patti LaBelle And The Blue Belles
Cry To Me	Betty Harris
Lonely Drifter	The O'Jays
That's How It Goes	George Maharis
Hear The Bells	The Tokens
Mr. Wishing Well	Nat King Cole
Faded Love	Patsy Cline
Your Boyfriend's Back	Bobby Comstock And The Counts
Maria Elena	Los Indios Tabajaras
Washington Square	The Village Stompers
